dihedral,ideal_angle,extracted_angle,error
C1-C2-C6-C9,72.02151673463905,57.58436628110329,14.437150453535757
C1-C2-C6-C8,191.3501119647661,178.7337054573059,12.616406507460226
C1-C2-C6-C7,311.82505293448327,298.1858979542826,13.639154980200658
C3-C2-C6-C9,311.70736480277725,297.14323959519345,14.5641252075838
C3-C2-C6-C8,71.03596003290434,58.29257877139601,12.743381261508333
C3-C2-C6-C7,191.5109010026215,177.74477126837274,13.76612973424875
C4-C2-C6-C9,191.980509948868,177.2653769180476,14.715133030820397
C4-C2-C6-C8,311.309105178995,298.4147160942502,12.89438908474483
C4-C2-C6-C7,71.7840461487122,57.86690859122689,13.917137557485319
C1-C2-C4-C5,307.61174736394497,313.53604170057514,5.924294336630169
C6-C2-C4-C5,186.8380482690028,192.4606310421322,5.622582773129409
C3-C2-C4-C5,65.69885569165966,71.49631674962906,5.7974610579694
C2-C4-C5-N1,177.6193214324032,173.19108832138437,4.428233111018841
C2-C6-C9-C10,190.55343140189282,154.1311854364749,36.422245965417915
C8-C6-C9-C10,69.48067458039452,32.534594085082865,36.946080495311655
C7-C6-C9-C10,311.57809106245077,275.20028372099904,36.37780734145173
C6-C9-C10-N2,181.6943316746118,184.4624636007996,2.768131926187806
