layer,property,halogen,n_layers,n_experiments,mean_of_means,std_of_means,mean_of_stds,min_mean,max_mean
Layer 2,zeta,Cl,2,23,0.412512553371477,0.09648958629088464,0.042710553153737375,0.23141915291972182,0.5554999372135374
Layer 2,zeta,Cl,3,22,0.2873185635581427,0.05707539241212054,0.03348494795075878,0.16388362145888413,0.40707060692117825
Layer 2,zeta,Br,2,24,0.23903286306444527,0.10226516496628059,0.028992660330509883,0.10401355144055535,0.5333267981603658
Layer 2,zeta,Br,3,23,0.2800879885598616,0.06545093644094735,0.02118731360333021,0.1538158161737717,0.3931230089520217
Layer 2,zeta,I,2,24,0.20923357249941135,0.05948455974108634,0.019469152989180106,0.1275477493835393,0.3862115823325365
Layer 2,zeta,I,3,21,0.046164611431097465,0.033258850043614716,0.005582094706516489,0.00803475618546945,0.16575488194132482
Layer 2,delta,Cl,2,23,0.0010558075498081068,0.0004980709276149763,0.0002149582419031254,0.0003401000474935911,0.0018756207931795242
Layer 2,delta,Cl,3,22,0.0004912043126441037,0.00021823289681467353,0.00011010314413109067,0.00015152217591071537,0.001029968154730104
Layer 2,delta,Br,2,24,0.00032337308892337334,0.000290393929406876,7.215050039787703e-05,4.4504940845586924e-05,0.0011177434218760697
Layer 2,delta,Br,3,23,0.0004593996320683043,0.00023543394339909512,6.691046391961539e-05,0.0001229843613896352,0.0008836276200967746
Layer 2,delta,I,2,24,0.00019832768905483854,0.00016807510234257455,3.9676724084772106e-05,6.16579347735813e-05,0.0008133787110266278
Layer 2,delta,I,3,21,1.2699294502948571e-05,2.2891211728627742e-05,3.901249591958925e-06,2.3186837888739705e-07,0.00010838498866010596
Layer 2,sigma,Cl,2,23,68.54264938882369,19.32820542064285,7.404410080572031,41.92801235714931,121.21059771759887
Layer 2,sigma,Cl,3,22,61.0688127157398,12.973653693122081,5.30044635414977,37.91484772099419,82.41450232101238
Layer 2,sigma,Br,2,24,54.34941572638663,16.20739939535575,4.838547917007376,33.25018704641982,95.33236066865669
Layer 2,sigma,Br,3,23,49.729864511693016,9.101065681262437,3.791749797846634,31.080023591483844,70.01140298454263
Layer 2,sigma,I,2,24,44.12934662153723,10.04509676253986,2.8469133860499163,33.129902002669546,71.62724823120007
Layer 2,sigma,I,3,21,33.6691621976203,5.283114252007641,1.0370604402759516,18.76574914230109,41.09780272634125
Layer 2,theta_mean,Cl,2,23,205.01074666547294,76.58028247703227,19.3910852081345,122.9749509933551,481.11349088988516
Layer 2,theta_mean,Cl,3,22,188.76901298063515,51.03358820804735,18.041708988969877,113.44806117910917,289.25030807156577
Layer 2,theta_mean,Br,2,24,165.54492508877482,58.68874369919601,16.192799307274488,76.4322958396022,336.63742771983607
Layer 2,theta_mean,Br,3,23,150.44780623947028,30.951691892861557,16.56423371609724,93.25926411409813,237.0339560963531
Layer 2,theta_mean,I,2,24,124.12793184298967,36.36772691551451,11.447179705843931,86.75195285817044,252.8247588880096
Layer 2,theta_mean,I,3,21,97.92452334267644,14.354752786486284,2.660315005752047,52.582335144720865,122.60582427369403
Layer 2,theta_min,Cl,2,23,156.8458889973953,56.74005929255327,15.584842525185403,95.57288065408005,363.17678366964964
Layer 2,theta_min,Cl,3,22,147.90949202924222,37.17794731453663,14.556965305323416,89.85119842325057,215.9359840038469
Layer 2,theta_min,Br,2,24,130.62361839212227,47.63997511511562,12.875830606934992,59.92598260528815,268.19299920211756
Layer 2,theta_min,Br,3,23,116.95055073597732,24.881106344769325,15.23170977406483,76.1337428601368,188.98365076496992
Layer 2,theta_min,I,2,24,97.45174234622785,25.502304444865317,8.518244089467967,67.5092957602537,182.81416593798346
Layer 2,theta_min,I,3,21,77.49733109084492,12.226620442299563,2.404181543563369,39.162767893178085,96.80595216805386
Layer 2,theta_max,Cl,2,23,253.1756043335506,97.68960723618345,24.324566400851698,145.00493898592862,599.0501981101206
Layer 2,theta_max,Cl,3,22,229.62853393202815,66.1177512988991,25.989492639034687,137.04492393496776,364.2285257674
Layer 2,theta_max,Br,2,24,200.46623178542742,70.34283578337609,20.80869513433633,92.93860907391627,405.0818562375546
Layer 2,theta_max,Br,3,23,183.94506174296322,38.52025770882415,19.407437622335912,108.69654083050729,285.0842614277363
Layer 2,theta_max,I,2,24,150.8041213397515,47.94585100891375,14.86092618057127,102.35007135359338,322.8353518380357
Layer 2,theta_max,I,3,21,118.35171559450791,17.568353373764424,3.2445215417981204,66.00190239626365,148.4056963793342
Layer 2,mean_bond_distance,Cl,2,23,2.8645337147192134,0.01348076985977021,0.003513947235113412,2.836184576100693,2.8834323653748903
