bond,ideal_length,extracted_length,error
N1-C5,1.514974904651807,1.4959486254772407,0.01902627917456634
N2-C10,1.513284622535752,1.496376830029284,0.01690779250646801
C1-C2,1.542882272029222,1.5358603252843346,0.00702194674488732
C2-C6,1.601003019543577,1.5939319531807639,0.007071066362813072
C2-C3,1.5427922808099532,1.5387626167135389,0.004029664096414365
C2-C4,1.5554561281074544,1.5529355310514716,0.0025205970559827318
C4-C5,1.5282836848012398,1.5258469803658894,0.0024367044353503786
C6-C9,1.5554897971641846,1.5505474204989191,0.004942376665265424
C6-C8,1.5430068684496328,1.5341761413192347,0.008830727130398008
C6-C7,1.5428075081944834,1.539324480824075,0.003483027370408509
C9-C10,1.5278078577502827,1.5259086778089925,0.0018991799412901855
