dihedral,ideal_angle,extracted_angle,error
C1-C2-C8-C11,47.67906627479111,49.00855785569977,1.329491580908659
C1-C2-C8-C10,168.24489571099838,289.38114437249703,121.13624866149866
C1-C2-C8-C9,288.0424340591904,169.9374596310015,118.10497442818888
C3-C2-C8-C11,287.89615545463465,289.2465474766591,1.3503920220244368
C3-C2-C8-C10,48.4619848908419,169.61913399345636,121.15714910261445
C3-C2-C8-C9,168.25952323903394,50.17544925196081,118.08407398707313
C4-C2-C8-C11,167.7414658233463,169.2177898603175,1.4763240369712207
C4-C2-C8-C10,288.30729525955354,49.59037637711476,238.7169188824388
C4-C2-C8-C9,48.10483360774558,290.1466916356192,242.04185802787364
C1-C2-C4-C5,298.7744569119438,296.3373935931193,2.437063318824471
C8-C2-C4-C5,177.3724065951423,174.79651598249842,2.5758906126438887
C3-C2-C4-C5,56.213724496624906,54.18776635742881,2.025958139196092
C2-C4-C5-C6,181.59652118394453,200.53613601948035,18.93961483553582
C4-C5-C6-C7,187.5860962561512,171.51632752988095,16.06976872627024
C5-C6-C7-N1,181.03675393538754,190.36441530205812,9.327661366670583
C2-C8-C11-C12,172.33031178843456,164.90218796296256,7.4281238254719995
C10-C8-C11-C12,50.90385826610484,286.2909076124758,235.38704934637096
C9-C8-C11-C12,293.56482535808965,43.44430719158294,250.1205181665067
C8-C11-C12-C13,176.28325266050018,181.00493621525482,4.721683554754634
C11-C12-C13-C14,185.71692591254143,191.7285757423888,6.011649829847386
C12-C13-C14-N2,180.1405928032448,74.27970589459584,105.86088690864896
