dihedral,ideal_angle,extracted_angle,error
N1-C1-C2-C3,56.356576778412006,51.97473389460264,4.381842883809362
C1-C2-C3-C4,176.18471948784335,162.91536269605933,13.26935679178402
C2-C3-C4-C5,66.67239398309731,58.8464351467618,7.825958836335509
C2-C3-C4-C12,299.98815164237107,292.72578592447604,7.2623657178950225
C3-C4-C5-C6,193.96816344978566,193.11563051742002,0.8525329323656479
C12-C4-C5-C6,323.4157387734823,322.0301894544794,1.3855493190029051
C3-C4-C12-C11,194.78583904771685,196.30660160658059,1.520762558863737
C5-C4-C12-C11,66.20698492832196,67.60371677288971,1.3967318445677535
C4-C5-C6-C7,332.8105780767097,333.5939019882357,0.7833239115259971
C5-C6-C7-C11,65.95297230967068,66.23529429170638,0.2823219820356968
C5-C6-C7-C8,194.3148106031353,195.7202908852,1.4054802820647012
C6-C7-C11-C12,323.7179108503977,323.21410259908544,0.5038082513122504
C8-C7-C11-C12,194.85964058284154,192.66740319269073,2.192237390150808
C6-C7-C8-C9,300.9913713089307,294.8593720177808,6.131999291149896
C11-C7-C8-C9,67.28066062737621,62.37221363182642,4.908446995549788
C7-C8-C9-C10,177.83089566958748,177.5500930375911,0.2808026319963801
C8-C9-C10-N2,177.96847390563866,173.34256285634402,4.625911049294643
C7-C11-C12-C4,332.6652724726307,332.1549586942486,0.5103137783821126
