bond,ideal_length,extracted_length,error
N1-C1,1.5118299646875062,1.4843671117380244,0.02746285294948181
N2-C8,1.512176894117184,1.4836701721218084,0.028506721995375628
C1-C2,1.5320110776581142,1.5153054137494817,0.016705663908632484
C2-C3,1.509418388936872,1.5011991188449314,0.008219270091940567
C3-C10,1.405518329289554,1.3989501909255087,0.0065681383640452395
C3-C4,1.3991255428709102,1.3946782077555637,0.004447335115346451
C4-C5,1.3993755798875551,1.389266054326578,0.010109525560977106
C5-C6,1.4049863245241445,1.397719299265869,0.007267025258275606
C6-C9,1.399726029150401,1.3955846193019736,0.004141409848427369
C6-C7,1.509618700652168,1.5019459687123908,0.007672731939777133
C7-C8,1.5322092150558646,1.5171444879367506,0.015064727119113996
C9-C10,1.3985703990912282,1.390711295885879,0.007859103205349216
