dihedral,ideal_angle,extracted_angle,error
N1-C1-C2-C3,305.81060509576173,304.19650137557664,1.614103720185085
C1-C2-C3-C10,304.3815832389518,175.65038896442093,128.73119427453088
C1-C2-C3-C4,179.04781494126223,300.22892224735125,121.18110730608902
C2-C3-C10-C9,183.05073951254045,146.51643238957288,36.53430712296756
C4-C3-C10-C9,308.0002950110882,19.68388199738467,288.31641301370354
C2-C3-C4-C5,125.15365457979112,172.32618648247524,47.17253190268411
C10-C3-C4-C5,358.794191008691,296.8379280267934,61.95626298189757
C3-C4-C5-C6,53.91643989438624,44.23501844772878,9.68142144665746
C4-C5-C6-C7,184.73889551671164,140.98187452641216,43.75702099029948
C4-C5-C6-C9,309.01412882188504,15.569538618149759,293.4445902037353
C5-C6-C7-C8,294.3154496193395,183.7594224220134,110.55602719732613
C9-C6-C7-C8,169.55402383099866,307.17623272364625,137.6222088926476
C5-C6-C9-C10,357.4465812650282,300.75480155824965,56.69177970677856
C7-C6-C9-C10,124.31807884247432,177.7074411683356,53.389362325861285
C6-C7-C8-N2,79.9652633541885,85.26127306997033,5.296009715781835
C6-C9-C10-C3,54.8508479240655,40.78296968364978,14.067878240415716
