dihedral,ideal_angle,extracted_angle,error
N1-C1-C2-C8,302.836029365582,299.64293777190585,3.193091593676172
N1-C1-C2-C3,72.17944154805024,69.66756465147856,2.5118768965716782
C1-C2-C8-C7,106.19362335959384,95.72633393230834,10.467289427285507
C3-C2-C8-C7,336.57943135302816,325.4661925401253,11.113238812902864
C1-C2-C3-C4,194.7095565825848,207.55328164406018,12.843725061475368
C8-C2-C3-C4,324.56757549481046,339.35895574020276,14.791380245392304
C2-C3-C4-C5,65.55043463864071,66.63441208034725,1.083977441706537
C3-C4-C5-C7,327.96348453658743,306.1029282488496,21.860556287737836
C3-C4-C5-C6,198.12283974294604,175.58563822097622,22.53720152196982
C4-C5-C7-C8,333.0962129421516,359.2774610244253,26.18124808227367
C6-C5-C7-C8,102.42258348274525,129.51552754348643,27.092944060741175
C4-C5-C6-N2,74.08052439961062,38.194987852554306,35.88553654705632
C7-C5-C6-N2,304.88995417753364,269.2975889620075,35.592365215526115
C5-C7-C8-C2,56.64020883606702,46.248380701040006,10.391828135027012
