bond,ideal_length,extracted_length,error
N1-C1,1.5239520746966926,1.498210483463346,0.025741591233346517
N2-C4,1.5238859541963412,1.4982498551105357,0.025636099085805553
C1-C6,1.5258691029351126,1.5186142684538078,0.007254834481304817
C1-C2,1.5259039742674911,1.5196227813994914,0.006281192867999774
C2-C3,1.550195025916816,1.5195328079922152,0.030662217924600776
C3-C4,1.5259007837904663,1.5185660236848755,0.007334760105590865
C4-C5,1.5258127066964304,1.5196610762340101,0.006151630462420288
C5-C6,1.5502397170746818,1.5195582153724863,0.030681501702195524
