angle,ideal_angle,extracted_angle,error
C1-C2-C4,110.34411025599285,108.21545950286773,2.1286507531251146
C1-C2-C3,110.14892210676788,109.89103238198126,0.2578897247866223
C1-C2-C6,110.19737284287272,110.53089929246828,0.3335264495955528
C4-C2-C3,110.4776581611933,110.39853741675688,0.07912074443642325
C4-C2-C6,105.11137405954595,107.31804069804501,2.2066666384990583
C3-C2-C6,110.46047744296146,110.43060312913622,0.02987431382524619
C2-C4-C5,113.94563725780537,113.46236944065278,0.48326781715259415
N1-C5-C4,112.10662170971838,108.6092858173178,3.497335892400585
C2-C6-C7,113.97268091128525,114.22004821675947,0.2473673054742136
N2-C7-C6,111.88705543312966,109.2831848856083,2.6038705475213533
