dihedral,ideal_angle,extracted_angle,error
N1-C1-C6-C5,140.83284196722042,187.98116589639798,47.148323929177565
C2-C1-C6-C5,5.487464565163735,2.7875276745897457,2.699936890573989
N1-C1-C2-C3,219.155518788295,171.95999925850566,47.19551952978935
C6-C1-C2-C3,354.4991084543311,357.2960433013506,2.796934847019486
C1-C2-C3-C4,6.01655076705283,359.9296997383063,353.91314897125346
C2-C3-C4-N2,218.36488528141825,189.75286462481185,28.612020656606404
C2-C3-C4-C5,354.08805656774064,2.778824051494325,351.3092325162463
N2-C4-C5-C6,141.62414606131316,170.27715833687066,28.6530122755575
C3-C4-C5-C6,5.896699380973117,357.30123781055727,351.40453842958414
C4-C5-C6-C1,354.0121469600438,359.92129054866075,5.909143588616928
