structure_name,entity_id,entity_type,experiment_name,timestamp,lattice_a,lattice_b,lattice_c,alpha,beta,gamma,metal_B,halogen_X,total_atoms,total_octahedra,cell_volume,cutoff_ref_ligand,central_atom_index,central_atom_symbol,central_x,central_y,central_z,zeta,delta,sigma,theta_mean,theta_min,theta_max,mean_bond_distance,bond_distance_variance,octahedral_volume,is_octahedral,num_axial_ligands,num_equatorial_ligands,total_ligands,axial_central_axial_angle,deviation_from_180,is_linear,total_axial_bridges,total_equatorial_bridges,avg_axial_central_axial_angle,avg_central_equatorial_central_angle,cis_angle_mean,cis_angle_std,cis_angle_min,cis_angle_max,trans_angle_mean,trans_angle_std,trans_angle_min,trans_angle_max,bond_distance_min,bond_distance_max,bond_distance_range,molecular_formula,num_atoms,molecular_size_max,molecular_size_mean,is_spacer_molecule,is_a_site_molecule,mol_H_count,mol_C_count,mol_N_count,mol_O_count,mol_F_count,mol_S_count,mol_Cl_count,mol_Br_count,mol_I_count,vector_angle_between_planes_deg,vector_distance_between_centers_angstrom,vector_low_plane_vs_z_axis_deg,vector_high_plane_vs_z_axis_deg,vector_analysis_available,penetration_mol1_formula,penetration_mol1_n1_to_low,penetration_mol1_low_to_high,penetration_mol1_high_to_n2,penetration_mol1_total_length,penetration_mol2_formula,penetration_mol2_n1_to_low,penetration_mol2_low_to_high,penetration_mol2_high_to_n2,penetration_mol2_total_length,penetration_n1_to_low_diff,penetration_low_to_high_diff,penetration_high_to_n2_diff,penetration_analysis_available,spacer_total_H,spacer_total_C,spacer_total_N,perovskite_name,halogen,n_slab,molecule_name,contcar_path,penetration_n1_to_low,penetration_low_to_high,penetration_high_to_n2,penetration_total_length,penetration_length_difference,penetration_n1_x,penetration_n1_y,penetration_n1_z,penetration_n2_x,penetration_n2_y,penetration_n2_z,analysis_timestamp
MAPbBr3_n1_[NH3+]CCCC1=CC=C(CCC[NH3+])C=C,molecule_0,molecule,CONTCAR,2025-08-06 13:14:23.677364,8.194507876885162,7.863721061100026,15.822731863529683,76.8277905578165,95.22479815013189,88.62292936640566,Pb,Br,82,2,987.5999102072452,3.5,,MOL,4.652372981539539,4.603225307158482,8.182539993752721,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C12H22N2,36.0,14.057067353997454,6.330545089380777,True,False,22,12,2,0,0,0,0,0,0,13.882542259697352,9.412677300963217,5.241265317518013,12.570834945752829,True,,,,,,,,,,,,,,True,44,24,4,MAPbBr3,Br,1,[NH3+]CCCC1=CC=C(CCC[NH3+])C=C1,/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_[NH3+]CCCC1=CC=C(CCC[NH3+])C=C1/CONTCAR,0.1368354362487205,10.902220775589441,0.08427314399557226,10.849658483336293,0.2736708724974406,0.3490550051754927,3.517041574932649,3.1729943355847454,-0.5223880433790367,6.283134397418317,13.62786911797934,2025-08-06T13:16:20.930085
MAPbBr3_n1_[NH3+]CCC[NH3+],molecule_0,molecule,CONTCAR,2025-08-06 13:14:25.383295,7.948301798194446,7.953700140816569,10.284445957455997,89.8981740181815,90.12905026805339,89.50907085717351,Pb,Br,44,2,650.1397476505124,3.5,,MOL,4.671643614978252,3.9412416305580997,5.159810513851633,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C3H12N2,17.0,9.728376596185448,5.313771948463618,True,False,12,3,2,0,0,0,0,0,0,0.0062920483402267476,4.212293494986235,0.04660458356961866,0.04031278535211839,True,,,,,,,,,,,,,,True,24,6,4,MAPbBr3,Br,1,[NH3+]CCC[NH3+],/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_[NH3+]CCC[NH3+]/CONTCAR,0.3424444450177265,4.212801988446376,0.3634589670947205,4.9187054005588235,8.881784197001252e-16,0.21797614846941102,4.12302938684224,2.724707255201625,0.21156275540670044,4.162475137422405,7.6432503035684,2025-08-06T13:16:20.930085
MAPbBr3_n1_CC(C)(CC[NH3+])CC[NH3+],molecule_0,molecule,CONTCAR,2025-08-06 13:14:25.633730,8.187093075461302,7.946033827810784,12.438265225943383,90.21194130494457,90.14149408146552,89.17693502610655,Pb,Br,68,2,809.0789445962388,3.5,,MOL,4.013250779146485,3.7395382052016624,6.257226944253681,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C7H20N2,29.0,10.756195234803235,5.5193982290602595,True,False,20,7,2,0,0,0,0,0,0,0.09878187495364707,6.382616931957915,0.3786597380760268,0.27990627130523354,True,,,,,,,,,,,,,,True,40,14,4,MAPbBr3,Br,1,CC(C)(CC[NH3+])CC[NH3+],/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_CC(C)(CC[NH3+])CC[NH3+]/CONTCAR,0.4840408707980529,6.374257173918216,0.4850484822093479,7.343346526925616,0.0,0.5173619499832953,4.096983226930414,2.6039817784207315,0.5827994434484919,4.108701811746852,9.947027387956968,2025-08-06T13:16:20.930085
MAPbBr3_n1_[NH3+]CCC1CCC(CC[NH3+])CC1,molecule_0,molecule,CONTCAR,2025-08-06 13:14:28.464476,8.07817710425786,7.913521860227495,14.258490914531855,98.8649805361499,95.78713812223289,90.35555045965042,Pb,Br,82,2,895.8022560154732,3.5,,MOL,3.3604714784863265,3.978453499914775,6.463525948954367,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C10H24N2,36.0,12.76927082618225,6.079235913319353,True,False,24,10,2,0,0,0,0,0,0,1.1902266110667632,8.418210862956625,10.909013307225596,9.720393213138783,True,,,,,,,,,,,,,,True,48,20,4,MAPbBr3,Br,1,[NH3+]CCC1CCC(CC[NH3+])CC1,/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_[NH3+]CCC1CCC(CC[NH3+])CC1/CONTCAR,0.17696519727225282,11.748415097187856,0.2856829645337738,12.211063258993883,1.7763568394002505e-15,7.730301681509144,4.204949257243082,1.9028374435894253,-0.31217475057202504,3.214494073835977,11.037805275182004,2025-08-06T13:16:20.930085
MAPbBr3_n1_[NH3+]CCCC1CCC(CCC[NH3+])CC1,molecule_0,molecule,CONTCAR,2025-08-06 13:14:34.375018,8.168668684723851,7.7160986255633475,16.859210874590598,99.05306284592008,93.08916739260157,87.83108123218226,Pb,Br,94,2,1047.4133960583167,3.5,,MOL,3.122515429698645,3.1276960051767353,8.072310576325798,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C12H28N2,42.0,15.862379320968936,6.430068672068059,True,False,28,12,2,0,0,0,0,0,0,10.092519686421298,10.673857565588063,9.391595256060878,2.3155507652502,True,,,,,,,,,,,,,,True,56,24,4,MAPbBr3,Br,1,[NH3+]CCCC1CCC(CCC[NH3+])CC1,/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_[NH3+]CCCC1CCC(CCC[NH3+])CC1/CONTCAR,0.3393704190731059,13.01013687422905,0.6499850898710656,13.999492383173221,0.0,7.78702336749601,4.873657514110082,2.2157411384477665,0.4598188438199225,2.7521079347722837,13.954433068861364,2025-08-06T13:16:20.930085
MAPbBr3_n1_CC(C)(C[NH3+])C(C)(C)C[NH3+],molecule_0,molecule,CONTCAR,2025-08-06 13:14:45.674433,8.016384321211163,8.977508909403976,11.279196745723466,87.02334140608112,83.9151106901146,89.01799551424665,Pb,Br,74,2,806.0140659517165,3.5,,MOL,3.7686474762870916,4.750384214622647,5.901608951673211,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C8H22N2,32.0,10.033051966937704,5.1316016237463264,True,False,22,8,2,0,0,0,0,0,0,6.359198868685007,6.594584781316842,0.9717640871548121,6.12812291300361,True,,,,,,,,,,,,,,True,44,16,4,MAPbBr3,Br,1,CC(C)(C[NH3+])C(C)(C)C[NH3+],/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_CC(C)(C[NH3+])C(C)(C)C[NH3+]/CONTCAR,0.6999358672017953,5.307640918801462,0.309241313118963,6.316818099122219,8.881784197001252e-16,0.5379613634605066,4.6269188146823055,2.5974466580223807,1.125377927273552,4.679146826531048,8.886675936140206,2025-08-06T13:16:20.930085
MAPbBr3_n1_[NH3+]CC1=CC=C(C[NH3+])C=C1,molecule_0,molecule,CONTCAR,2025-08-06 13:14:50.049157,8.029131177020702,7.853514531755379,12.724877709901468,99.97907872042894,89.5082132834331,89.76902679930934,Pb,Br,58,2,790.2105012853759,3.5,,MOL,3.585098720218579,3.581149112994495,6.020848280430324,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C8H14N2,24.0,12.011535988696213,5.580461659023682,True,False,14,8,2,0,0,0,0,0,0,10.019445588323823,6.62520851106099,6.198393954973191,7.259773953294652,True,,,,,,,,,,,,,,True,28,16,4,MAPbBr3,Br,1,[NH3+]CC1=CC=C(C[NH3+])C=C1,/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_[NH3+]CC1=CC=C(C[NH3+])C=C1/CONTCAR,0.011520259365554163,9.408509561241523,0.752753201712489,10.149742503588458,0.023040518731107795,7.762001685968218,4.048064710618309,2.382599179663607,0.7463197929234651,3.113007205172661,9.657428932053959,2025-08-06T13:16:20.930085
MAPbBr3_n1_[NH3+]CCCCCC[NH3+],molecule_0,molecule,CONTCAR,2025-08-06 13:14:53.830322,8.019201062937764,8.0275277763855,13.149935643802996,80.26819184471151,80.40810582082209,89.97504925854916,Pb,Br,62,2,822.3377496931026,3.5,,MOL,4.357308031199904,4.769975551458941,7.15535877330973,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C6H18N2,26.0,11.172265675818124,5.612526481181703,True,False,18,6,2,0,0,0,0,0,0,0.046858263841697105,7.327351671060523,13.706156337289109,13.751933352234767,True,,,,,,,,,,,,,,True,36,12,4,MAPbBr3,Br,1,[NH3+]CCCCCC[NH3+],/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_[NH3+]CCCCCC[NH3+]/CONTCAR,0.5147887069627569,8.416320737238102,0.5172325756704722,9.448342019871331,0.0,7.312572365255469,3.3772284662878125,3.516370457315126,2.0259791559179257,6.155082558670508,10.838025038411201,2025-08-06T13:16:20.930085
MAPbBr3_n1_[NH3+]CCCCCCCCC[NH3+],molecule_0,molecule,CONTCAR,2025-08-06 13:14:54.125903,7.910103435952956,7.92422345550826,17.68894459162218,89.46166584263526,89.05430992725199,89.90228427310862,Pb,Br,80,2,1108.566999389018,3.5,,MOL,5.228990573898508,4.291342487970079,8.943477856476855,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C9H24N2,35.0,16.126022465593163,6.775876922392851,True,False,24,9,2,0,0,0,0,0,0,0.5361539757984014,11.57949355133619,0.7323368437932053,1.2684896973031072,True,,,,,,,,,,,,,,True,48,18,4,MAPbBr3,Br,1,[NH3+]CCCCCCCCC[NH3+],/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_[NH3+]CCCCCCCCC[NH3+]/CONTCAR,0.44105479575099105,11.53427248122691,0.4226050739981142,12.397932350976014,3.552713678800501e-15,0.30810430927364735,4.39383047259342,2.7057139075214507,0.5292314872359221,4.53085750298016,15.10091672730167,2025-08-06T13:16:20.930085
MAPbBr3_n1_[NH3+]CCCCCCC[NH3+],molecule_0,molecule,CONTCAR,2025-08-06 13:14:54.369386,7.934122074697035,7.953635398487878,15.207134526061429,89.96675327765692,90.13471946523802,89.97617157723938,Pb,Br,68,2,959.6450629072024,3.5,,MOL,4.59336744258335,3.83374175950301,7.644244839725968,,,,,,,,,,False,0,0,0,,,False,0,0,,,,,,,,,,,,,,C7H20N2,29.0,13.392858507104117,6.4865685448717,True,False,20,7,2,0,0,0,0,0,0,0.03901806229133774,9.099234897590408,0.009015854766828224,0.04803391631798472,True,,,,,,,,,,,,,,True,40,14,4,MAPbBr3,Br,1,[NH3+]CCCCCCC[NH3+],/home/dotempo/Documents/DION-JACOBSON/BULKS/MAPbBr3/MAPbBr3_n1_[NH3+]CCCCCCC[NH3+]/CONTCAR,0.41512397357849234,9.095925714031736,0.4333105075555119,9.944360195165737,1.7763568394002505e-15,0.26001612056161993,4.125788044728763,2.6886210949390152,0.2964969749769914,4.19515314944073,12.632672448421971,2025-08-06T13:16:20.930085
