bond,ideal_length,extracted_length,error
N1-C5,1.5140543586234265,1.4946489519593498,0.019405406664076752
N2-C7,1.5130633264353253,1.4948638622347692,0.01819946420055607
C1-C2,1.5403043043257107,1.531621413604727,0.008682890720983716
C2-C4,1.5559747950237515,1.5390129716853846,0.01696182333836682
C2-C3,1.5402637558342802,1.5321054931487101,0.008158262685570072
C2-C6,1.5555461838403486,1.5390549691269364,0.016491214713412194
C4-C5,1.526073384569741,1.5189325894868233,0.00714079508291765
C6-C7,1.5258199619841224,1.5190203094477004,0.006799652536422007
