angle,ideal_angle,extracted_angle,error
C1-C2-C4,109.93983388287657,109.94575137184141,0.005917488964840345
C1-C2-C3,110.02116362858406,109.8987893156179,0.12237431296615853
C1-C2-C7,109.97538033101982,109.6196200930592,0.3557602379606237
C4-C2-C3,110.01745082033902,110.2364819115324,0.21903109119337216
C4-C2-C7,106.77222078128531,106.56703974219566,0.20518103908965202
C3-C2-C7,110.06281598812697,110.51943416265502,0.456618174528046
C2-C4-C5,115.15524451576519,116.50449387791893,1.349249362153742
C4-C5-C6,111.67654255727156,111.24565897534644,0.4308835819251158
N1-C6-C5,110.92377113836758,111.01319308225298,0.08942194388539804
C2-C7-C8,115.45097458233346,114.52243443884117,0.9285401434922846
C7-C8-C9,111.20371248012748,113.03501724350842,1.8313047633809418
N2-C9-C8,111.40084398960703,108.57402298232421,2.826821007282817
