dihedral,ideal_angle,extracted_angle,error
C1-C2-C6-C9,72.02151673463905,294.54500898953535,222.5234922548963
C1-C2-C6-C8,191.3501119647661,53.46940926821079,137.88070269655532
C1-C2-C6-C7,311.82505293448327,175.89404810998408,135.93100482449918
C3-C2-C6-C9,311.70736480277725,57.87221505376228,253.83514974901496
C3-C2-C6-C8,71.03596003290434,176.79661533243774,105.7606552995334
C3-C2-C6-C7,191.5109010026215,299.221254174211,107.71035317158953
C4-C2-C6-C9,191.980509948868,175.8065010511495,16.174008897718494
C4-C2-C6-C8,311.309105178995,294.730901329825,16.578203849170052
C4-C2-C6-C7,71.7840461487122,57.15554017159821,14.628505977113996
C1-C2-C4-C5,307.61174736394497,61.80799547425534,245.80375188968964
C6-C2-C4-C5,186.8380482690028,182.55511940089306,4.282928868109735
C3-C2-C4-C5,65.69885569165966,302.5471520945622,236.84829640290252
C2-C4-C5-N1,177.6193214324032,176.43280826833572,1.1865131640674917
C2-C6-C9-C10,190.55343140189282,172.5824076511395,17.971023750753318
C8-C6-C9-C10,69.48067458039452,52.01217308702574,17.468501493368784
C7-C6-C9-C10,311.57809106245077,293.6066745711158,17.971416491334992
C6-C9-C10-N2,181.6943316746118,188.52059315042885,6.826261475817063
