angle,ideal_angle,extracted_angle,error
C1-C2-C4,109.93983388287657,109.30079387427878,0.6390400085977888
C1-C2-C3,110.02116362858406,110.4318529706816,0.41068934209754104
C1-C2-C7,109.97538033101982,108.40303678022212,1.5723435507976973
C4-C2-C3,110.01745082033902,110.23575552117117,0.21830470083214948
C4-C2-C7,106.77222078128531,108.02783012380884,1.2556093425235275
C3-C2-C7,110.06281598812697,110.38274703316297,0.31993104503600023
C2-C4-C5,115.15524451576519,113.60376156314747,1.551482952617718
C4-C5-C6,111.67654255727156,111.94911355257999,0.27257099530842765
N1-C6-C5,110.92377113836758,110.2316316251745,0.6921395131930836
C2-C7-C8,115.45097458233346,115.11719563481843,0.3337789475150288
C7-C8-C9,111.20371248012748,108.82487150807628,2.3788409720511936
N2-C9-C8,111.40084398960703,112.05887019302472,0.6580262034176911
