dihedral,ideal_angle,extracted_angle,error
C1-C2-C4-C5,298.57119896414054,287.1560567926834,11.415142171457148
C3-C2-C4-C5,59.88896018802868,48.71088647417122,11.178073713857465
C7-C2-C4-C5,179.30379421653825,169.39744969691634,9.90634451962191
C1-C2-C7-C8,63.67817167948013,64.20785382327442,0.5296821437942896
C4-C2-C7-C8,182.92253295543188,182.541843782499,0.3806891729328754
C3-C2-C7-C8,302.3079999648345,303.1365690036649,0.8285690388303806
C2-C4-C5-C6,180.5275258806463,159.7896039727137,20.737921907932588
C4-C5-C6-N1,178.77645418085638,186.27753352519514,7.501079344338763
C2-C7-C8-C9,181.86190489788538,195.1847352665963,13.322830368710925
C7-C8-C9-N2,181.2271707426206,185.14095735193226,3.9137866093116713
