Structure,Octahedra_Count,Cell_Volume,Total_Atoms,Mean_Zeta,Mean_Delta,Mean_Sigma
n1,2,921.180360606805,92,0.16262489614208087,0.00011725710146200121,59.95663146724452
n2,4,911.1422319917666,68,0.3410212152526414,0.0009328584518530795,53.2219537264902
n3,6,1444.555540925011,118,0.3245290462986381,0.0006647335723358747,59.565908407667735
