bond,ideal_length,extracted_length,error
N1-C1,1.5190417553856495,1.499846208771334,0.01919554661431544
N2-C8,1.5175320858057553,1.4964872175428658,0.021044868262889427
C1-C2,1.5215399197945765,1.5249537335322263,0.003413813737649818
C2-C3,1.5363956794307403,1.5339297078015928,0.002465971629147523
C3-C10,1.5334145448017693,1.5286730529557266,0.004741491846042667
C3-C4,1.5536939335967945,1.5504374083758756,0.0032565252209189044
C4-C5,1.5312246305533381,1.5355248211206693,0.004300190567331219
C5-C6,1.53651173689418,1.5301846489475839,0.006327087946596199
C6-C7,1.5394815033106597,1.537528144957284,0.0019533583533757337
C6-C9,1.559254038459639,1.5503312024841576,0.00892283597548138
C7-C8,1.5265093402711403,1.5189950932156706,0.007514247055469658
C9-C10,1.5306798705721492,1.532071995270113,0.0013921246979637925
