angle,ideal_angle,extracted_angle,error
C1-C2-C4,110.34411025599285,110.24151407753465,0.10259617845819946
C1-C2-C3,110.14892210676788,110.33282530875144,0.18390320198355425
C1-C2-C6,110.19737284287272,110.24337671970007,0.04600387682734208
C4-C2-C3,110.4776581611933,110.3914011623493,0.08625699884400717
C4-C2-C6,105.11137405954595,105.13727859797254,0.025904538426587465
C3-C2-C6,110.46047744296146,110.38282305309629,0.07765438986517381
C2-C4-C5,113.94563725780537,115.6938062663058,1.748169008500426
N1-C5-C4,112.10662170971838,108.42465381739406,3.681967892324323
C2-C6-C7,113.97268091128525,115.69092367601259,1.7182427647273357
N2-C7-C6,111.88705543312966,108.42378084283965,3.4632745902900126
