dihedral,ideal_angle,extracted_angle,error
C1-C2-C4-C5,298.57119896414054,73.3031465859971,225.26805237814344
C3-C2-C4-C5,59.88896018802868,313.03269050172594,253.14373031369726
C7-C2-C4-C5,179.30379421653825,192.52051498206663,13.216720765528379
C1-C2-C7-C8,63.67817167948013,285.9986684844228,222.32049680494268
C4-C2-C7-C8,182.92253295543188,166.73910211382636,16.183430841605514
C3-C2-C7-C8,302.3079999648345,46.23258035740549,256.075419607429
C2-C4-C5-C6,180.5275258806463,191.66494558657962,11.137419705933326
C4-C5-C6-N1,178.77645418085638,181.31058264298426,2.5341284621278817
C2-C7-C8-C9,181.86190489788538,166.94755287811174,14.914352019773645
C7-C8-C9-N2,181.2271707426206,179.9783952033628,1.2487755392577924
