dihedral,ideal_angle,extracted_angle,error
N1-C1-C2-C8,302.836029365582,41.75404887150946,261.0819804940726
N1-C1-C2-C3,72.17944154805024,273.908555627567,201.72911407951676
C1-C2-C8-C7,106.19362335959384,174.29920676501325,68.10558340541941
C3-C2-C8-C7,336.57943135302816,303.7548779086368,32.82455344439137
C1-C2-C3-C4,194.7095565825848,132.88843230221462,61.821124280370185
C8-C2-C3-C4,324.56757549481046,4.479427632494767,320.0881478623157
C2-C3-C4-C5,65.55043463864071,41.05778776738633,24.49264687125438
C3-C4-C5-C7,327.96348453658743,326.6061174508362,1.357367085751207
C3-C4-C5-C6,198.12283974294604,96.34974518030225,101.77309456264379
C4-C5-C7-C8,333.0962129421516,341.4057057602289,8.309492818077274
C6-C5-C7-C8,102.42258348274525,210.2577016589827,107.83511817623746
C4-C5-C6-N2,74.08052439961062,299.25107330776854,225.1705489081579
C7-C5-C6-N2,304.88995417753364,69.22861675335137,235.66133742418225
C5-C7-C8-C2,56.64020883606702,64.79548655433504,8.155277718268025
