dihedral,ideal_angle,extracted_angle,error
N1-C1-C2-C3,305.81060509576173,90.75636772727873,215.054237368483
C1-C2-C3-C10,304.3815832389518,309.59966292904846,5.218079690096658
C1-C2-C3-C4,179.04781494126223,185.61640927512804,6.5685943338658035
C2-C3-C10-C9,183.05073951254045,175.24705808600314,7.80368142653731
C4-C3-C10-C9,308.0002950110882,298.60992259086805,9.39037242022016
C2-C3-C4-C5,125.15365457979112,144.8077628297215,19.654108249930374
C10-C3-C4-C5,358.794191008691,18.339663117132563,340.4545278915584
C3-C4-C5-C6,53.91643989438624,41.44747641503915,12.468963479347089
C4-C5-C6-C7,184.73889551671164,177.33341646895812,7.405479047753516
C4-C5-C6-C9,309.01412882188504,299.96845782590026,9.045670995984779
C5-C6-C7-C8,294.3154496193395,303.9397885625182,9.624338943178657
C9-C6-C7-C8,169.55402383099866,180.60692404033134,11.052900209332677
C5-C6-C9-C10,357.4465812650282,17.142241428051587,340.3043398369766
C7-C6-C9-C10,124.31807884247432,142.1132412463263,17.79516240385199
C6-C7-C8-N2,79.9652633541885,301.24980537084656,221.28454201665807
C6-C9-C10-C3,54.8508479240655,42.657161848128624,12.193686075936874
