dihedral,ideal_angle,extracted_angle,error
N1-C1-C2-C3,305.81060509576173,63.46185546852625,242.34874962723546
C1-C2-C3-C10,304.3815832389518,195.1779946501896,109.20358858876222
C1-C2-C3-C4,179.04781494126223,70.9062557931478,108.14155914811442
C2-C3-C10-C9,183.05073951254045,211.32945057993967,28.27871106739923
C4-C3-C10-C9,308.0002950110882,336.33551767626756,28.335222665179344
C2-C3-C4-C5,125.15365457979112,85.31095268294405,39.842701896847075
C10-C3-C4-C5,358.794191008691,321.57202821731875,37.22216279137223
C3-C4-C5-C6,53.91643989438624,61.78173459400067,7.865294699614431
C4-C5-C6-C7,184.73889551671164,217.2050916768868,32.46619616017517
C4-C5-C6-C9,309.01412882188504,341.6200564968847,32.605927674999634
C5-C6-C7-C8,294.3154496193395,277.52385955841754,16.791590060921976
C9-C6-C7-C8,169.55402383099866,153.30700497743683,16.247018853561826
C5-C6-C9-C10,357.4465812650282,316.24215962028023,41.20442164474798
C7-C6-C9-C10,124.31807884247432,80.82241066012331,43.49566818235101
C6-C7-C8-N2,79.9652633541885,284.98289522269454,205.01763186850604
C6-C9-C10-C3,54.8508479240655,67.47012787289441,12.619279948828911
