dihedral,ideal_angle,extracted_angle,error
N1-C1-C2-C8,302.836029365582,50.62784575565565,252.20818360992638
N1-C1-C2-C3,72.17944154805024,282.8914382600347,210.71199671198445
C1-C2-C8-C7,106.19362335959384,182.88120480896438,76.68758144937054
C3-C2-C8-C7,336.57943135302816,311.8895437022527,24.68988765077546
C1-C2-C3-C4,194.7095565825848,116.82201583064833,77.88754075193648
C8-C2-C3-C4,324.56757549481046,348.387890388515,23.820314893704563
C2-C3-C4-C5,65.55043463864071,53.37297674864785,12.177457889992858
C3-C4-C5-C7,327.96348453658743,328.6924896763815,0.7290051397940829
C3-C4-C5-C6,198.12283974294604,99.00651816396581,99.11632157898023
C4-C5-C7-C8,333.0962129421516,330.9947332288743,2.1014797132773424
C6-C5-C7-C8,102.42258348274525,198.91125238916564,96.48866890642039
C4-C5-C6-N2,74.08052439961062,285.6503419452722,211.56981754566158
C7-C5-C6-N2,304.88995417753364,55.784643357490175,249.10531082004346
C5-C7-C8-C2,56.64020883606702,71.15878759659563,14.518578760528612
