angle,ideal_angle,extracted_angle,error
N1-C1-C2,114.5449873614182,112.40597784246066,2.139009518957536
C1-C2-C8,113.40575685594574,112.62269191039447,0.7830649455512741
C1-C2-C3,112.93214200030475,113.69885336392515,0.7667113636204022
C8-C2-C3,112.39802347681356,111.26557469537735,1.13244878143621
C2-C3-C4,110.96265348897684,113.1475350537521,2.184881564775253
C3-C4-C5,111.20041485387266,113.50976042254338,2.3093455686707216
C4-C5-C7,112.35381681823166,111.88817186045806,0.4656449577736055
C4-C5-C6,112.62192329375826,115.74092092987313,3.1189976361148695
C7-C5-C6,113.61780463907253,112.2629873254403,1.3548173136322248
N2-C6-C5,114.583349898512,114.63740643946355,0.05405654095154944
C5-C7-C8,113.18858989162491,110.04821657166555,3.140373319959366
C2-C8-C7,113.10619990127195,108.09346326992039,5.012736631351558
