angle,ideal_angle,extracted_angle,error
N1-C1-C2,112.63289795432378,109.11158519791857,3.5213127564052087
C1-C2-C3,110.43152910344742,114.3441168539304,3.9125877504829845
C2-C3-C4,113.69470418077479,110.1993434373003,3.4953607434744924
C3-C4-C5,112.36534048666095,114.93916163812516,2.5738211514642018
C4-C5-C6,114.34609713609096,112.44551130255343,1.9005858335375336
C5-C6-C7,112.53254143572046,112.68704363783807,0.15450220211761234
C6-C7-C8,114.03009259529136,113.92566606189206,0.1044265333993053
C7-C8-C9,112.28740832566552,111.94548154702488,0.3419267786406408
C8-C9-C10,111.42873397645587,112.52493992696023,1.0962059505043555
N2-C10-C9,112.07334197013552,110.6803044366959,1.3930375334396103
