dihedral,ideal_angle,extracted_angle,error
C1-C2-C8-C11,47.67906627479111,304.20922324705674,256.5301569722656
C1-C2-C8-C10,168.24489571099838,183.8901445842776,15.645248873279229
C1-C2-C8-C9,288.0424340591904,63.65520915632853,224.38722490286185
C3-C2-C8-C11,287.89615545463465,63.64881655623068,224.24733889840397
C3-C2-C8-C10,48.4619848908419,303.3297378934515,254.86775300260962
C3-C2-C8-C9,168.25952323903394,183.09480246550245,14.835279226468515
C4-C2-C8-C11,167.7414658233463,183.53168221606163,15.790216392715337
C4-C2-C8-C10,288.30729525955354,63.2126035532825,225.09469170627105
C4-C2-C8-C9,48.10483360774558,302.9776681253334,254.87283451758785
C1-C2-C4-C5,298.7744569119438,61.62490335329084,237.14955355865294
C8-C2-C4-C5,177.3724065951423,183.14577363067508,5.773367035532772
C3-C2-C4-C5,56.213724496624906,304.5010084657529,248.28728396912797
C2-C4-C5-C6,181.59652118394453,168.92686642844325,12.669654755501284
C4-C5-C6-C7,187.5860962561512,188.50644074041855,0.9203444842673605
C5-C6-C7-N1,181.03675393538754,169.74050208689368,11.296251848493853
C2-C8-C11-C12,172.33031178843456,180.2237369378016,7.893425149367033
C10-C8-C11-C12,50.90385826610484,301.5426065422824,250.63874827617755
C9-C8-C11-C12,293.56482535808965,58.66090048745677,234.90392487063286
C8-C11-C12-C13,176.28325266050018,187.29538476808824,11.012132107588059
C11-C12-C13-C14,185.71692591254143,170.4383949565511,15.278530955990334
C12-C13-C14-N2,180.1405928032448,190.09380552129932,9.953212718054516
