bond,ideal_length,extracted_length,error
N1-C1,1.5190417553856495,1.4919055257044076,0.027136229681241852
N2-C8,1.5175320858057553,1.4970491037430096,0.02048298206274568
C1-C2,1.5215399197945765,1.5129633655943155,0.008576554200260933
C2-C3,1.5363956794307403,1.5428349718582661,0.006439292427525833
C3-C10,1.5334145448017693,1.5454823150587111,0.012067770256941834
C3-C4,1.5536939335967945,1.5408514638566033,0.012842469740191209
C4-C5,1.5312246305533381,1.5209685274004277,0.010256103152910478
C5-C6,1.53651173689418,1.5453474907985307,0.008835753904350652
C6-C7,1.5394815033106597,1.5252088879830823,0.014272615327577398
C6-C9,1.559254038459639,1.539829047799404,0.019424990660234842
C7-C8,1.5265093402711403,1.5132023158927368,0.013307024378403476
C9-C10,1.5306798705721492,1.5244380536198907,0.00624181695225845
