dihedral,ideal_angle,extracted_angle,error
N1-C1-C2-C8,302.836029365582,293.8571161555164,8.978913210065627
N1-C1-C2-C3,72.17944154805024,62.32094429943444,9.858497248615798
C1-C2-C8-C7,106.19362335959384,106.31773680780388,0.12411344821003922
C3-C2-C8-C7,336.57943135302816,337.7375650280287,1.1581336750005562
C1-C2-C3-C4,194.7095565825848,192.00004487107302,2.7095117115117944
C8-C2-C3-C4,324.56757549481046,321.68776706668683,2.8798084281236243
C2-C3-C4-C5,65.55043463864071,70.4563905619176,4.905955923276892
C3-C4-C5-C7,327.96348453658743,324.08117562483005,3.8823089117573772
C3-C4-C5-C6,198.12283974294604,193.57489371045057,4.547946032495474
C4-C5-C7-C8,333.0962129421516,334.8046188888733,1.7084059467216548
C6-C5-C7-C8,102.42258348274525,103.99439957430792,1.5718160915626669
C4-C5-C6-N2,74.08052439961062,47.82787596344512,26.2526484361655
C7-C5-C6-N2,304.88995417753364,279.1957415109978,25.69421266653586
C5-C7-C8-C2,56.64020883606702,56.33914172924019,0.301067106826828
