angle,ideal_angle,extracted_angle,error
N1-C1-C2,111.89551805150543,110.0724778978006,1.823040153704838
C1-C2-C3,110.55938922482196,113.05266674167014,2.493277516848181
C2-C3-C4,113.24658301861446,110.67982576284766,2.5667572557668024
C3-C4-C5,112.24262896075162,114.60206469256498,2.359435731813363
C4-C5-C6,114.04060833284228,111.24001992654959,2.8005884062926896
C5-C6-C7,112.36825940975837,114.37811622981745,2.0098568200590847
C6-C7-C8,113.24726780632243,110.95989337530442,2.2873744310180086
C7-C8-C9,110.64688734534741,112.05453025110758,1.40764290576017
N2-C9-C8,112.32162643994143,109.78925161830664,2.5323748216347894
