dihedral,ideal_angle,extracted_angle,error
C1-C2-C4-C5,298.57119896414054,287.96830517406653,10.602893790074006
C3-C2-C4-C5,59.88896018802868,48.19068276876523,11.698277419263455
C7-C2-C4-C5,179.30379421653825,170.31783471339196,8.98595950314629
C1-C2-C7-C8,63.67817167948013,67.66001834956784,3.9818466700877053
C4-C2-C7-C8,182.92253295543188,185.7395153347548,2.8169823793229227
C3-C2-C7-C8,302.3079999648345,306.9313847285506,4.623384763716103
C2-C4-C5-C6,180.5275258806463,171.96054066265003,8.566985217996262
C4-C5-C6-N1,178.77645418085638,180.79572606376303,2.0192718829066507
C2-C7-C8-C9,181.86190489788538,89.94873056935343,91.91317432853195
C7-C8-C9-N2,181.2271707426206,201.69794072850306,20.47076998588247
