bond,ideal_length,extracted_length,error
N1-C1,1.5124736707362907,1.4901341718836894,0.022339498852601336
N2-C10,1.5132586518866264,1.4884219163665968,0.02483673552002963
C1-C2,1.5244891691055928,1.5144424342301441,0.010046734875448715
C2-C3,1.5332220270037182,1.5225107087946963,0.010711318209021936
C3-C4,1.53070975758777,1.5215396760537703,0.009170081533999674
C4-C5,1.530465291509776,1.520563259158011,0.009902032351765122
C5-C6,1.5301516835289326,1.5225276953003362,0.0076239882285964455
C6-C7,1.5303572533492071,1.5211942561183078,0.009162997230899306
C7-C8,1.529988067039215,1.5242035592450096,0.005784507794205362
C8-C9,1.5335239855933556,1.5219660054826918,0.01155798011066378
C9-C10,1.5237523648978193,1.5141670383184753,0.009585326579343967
