dihedral,ideal_angle,extracted_angle,error
N1-C1-C2-C8,302.836029365582,282.46569047740445,20.37033888817757
N1-C1-C2-C3,72.17944154805024,53.202042193194195,18.97739935485604
C1-C2-C8-C7,106.19362335959384,99.54110515723437,6.652518202359474
C3-C2-C8-C7,336.57943135302816,328.3685223540214,8.210908999006733
C1-C2-C3-C4,194.7095565825848,197.69391375497028,2.9843571723854723
C8-C2-C3-C4,324.56757549481046,330.4658677971892,5.8982923023787635
C2-C3-C4-C5,65.55043463864071,71.4708817402061,5.920447101565387
C3-C4-C5-C7,327.96348453658743,312.6071066901554,15.356377846432054
C3-C4-C5-C6,198.12283974294604,183.0612767327345,15.061563010211529
C4-C5-C7-C8,333.0962129421516,346.83255925334714,13.736346311195518
C6-C5-C7-C8,102.42258348274525,115.93298421047662,13.510400727731366
C4-C5-C6-N2,74.08052439961062,51.44377286223967,22.636751537370955
C7-C5-C6-N2,304.88995417753364,283.17402282867033,21.715931348863307
C5-C7-C8-C2,56.64020883606702,54.81653098942484,1.8236778466421768
