ID,Abbreviation,Alternative_abbreviations,Molecular_formula,SMILE,Common_name,IUPAC_name,CAS,Parent_IUPAC,Parent_SMILE,Parent_CAS,Common_source_compound,Source_compound_CAS,Chemical_formula,Number_of_occurances,Source
107,DDDA,,C12H30N2+2,C(CCCCCC[NH3+])CCCCC[NH3+],"1,12-dodecanediammonium",12-azaniumyldodecylazanium,2783-17-7,"dodecane-1,12-diamine",C(CCCCCCN)CCCCCN,2783-17-7,C12H28N2,15536-18-2,"	
C12H30Cl2N2",,2D database
108,DDA,,C10H25N2+,C(CCCCC[NH3+])CCCC[NH3+],"1,10-decanediammonium",10-aminodecanazanium,,"decane-1,10-diamine",C(CCCCCN)CCCCN,646-25-3,C10H26Cl2N2,7408-92-6,,,2D database
109,HEDA,,C7H19N2+,C(CCC[NH3+])CCC[NH3+],"1,7-heptanediammonium",7-aminoheptlazanium,,"heptane-1,7-diamine",C(CCCN)CCCN,646-19-5,C7H20Cl2N2,15536-15-9,,,2D database
110,PEDA,C5di,C5H16N2+2,C(CC[NH3+])CC[NH3+],"1,5-pentyldiammonium",5-azaniumylpentylazanium,,"pentane-1,5-diamine",C(CCN)CCN,462-94-2,C5H16Cl2N2,1476-39-7,,,2D database
111,DAPO,,C3H12N2O+2,C(C(C[NH3+])O)[NH3+],"1,3-Diamino-2-propanol",(3-azaniumyl-2-hydroxypropyl)azanium,,"1,3-diaminopropan-2-ol",C(C(CN)O)N,616-29-5,,,"	
",,2D database
112,EDBE,,C6H17N2O2+,C(COCCOCCN)[NH3+],"2,2'-(ethylenedioxy)bis-(ethylammonium)",2-[2-(2-aminoethoxy)ethoxy]ethylazanium,,2-[2-(2-aminoethoxy)ethoxy]ethanamine,C(COCCOCCN)N,929-59-9,C6H15NO3,6338-55-2 ,"C6H15NO3	
",,2D database
113,CSEA,,C3H10N3S+,C(CSC(=N)N)[NH3+],2-(aminoethyl)isothiourea,2-carbamimidoylsulfanylethylazanium,,2-aminoethyl carbamimidothioate,C(CSC(=N)N)N,151-16-6,C3H11Br2N3S,56-10-0,,,2D database
114,AESE,,C4H14N2S2+2,C(CSSCC[NH3+])[NH3+],"2,2'-dithiobisethanammonium",2-(2-azaniumylethyldisulfanyl)ethylazanium,,2-(2-aminoethyldisulfanyl)ethanamine,C(CSSCCN)N,51-85-4,C4H14Cl2N2S2,56-17-7,"	
C4H14Cl2N2S2",,2D database
115,FEA,,C2H7FN+,C(CF)[NH3+],2-fluoroethylammonium,2-fluoroethylazanium,,2-fluoroethanamine,C(CF)N,406-34-8,,,"	
C5H13BrFN",,2D database
116,ClAl,,C6H7ClN+,C1=CC(=CC=C1[NH3+])Cl,4-Chloroanilinium,(4-chlorophenyl)azanium,,4-chloroaniline,C1=CC(=CC=C1N)Cl,106-47-8,C6H7Cl2N,20265-96-7,,,2D database
117,3AMP,,C6H9N2+,C1=CC(=C[NH+]=C1)C[NH3+],3-(aminomethyl)pyridinium,pyridin-1-ium-3-ylmethylazanium,,pyridin-3-ylmethanamine,C1=CC(=CN=C1)CN,3731-52-0,,,,,2D database
118,4PyMA,4AMP,C6H10N2+2,C1=C[NH+]=CC=C1C[NH3+],4-(aminomethyl)pyridinium,pyridin-1-ium-4-ylmethylazanium,,pyridin-4-ylmethanamine,C1=CN=CC=C1CN,3731-53-1,,,,,2D database
119,DMEN,,C4H14N2+2,C[NH+](C)CC[NH3+],2-(Dimethylamino)etylamine,2-azaniumylethyl(dimethyl)azanium,,"N',N'-dimethylethane-1,2-diamine",CN(C)CCN,108-00-9,,,,,2D database
120,DMABA,,C6H18N2+2,C[NH+](C)CCCC[NH3+],4-(Dimethylamino)butylamine,4-azaniumylbutyl(dimethyl)azanium,,"N',N'-dimethylbutane-1,4-diamine",CN(C)CCCCN,3529-10-0,,,,,2D database
121,BeDCA,,C9H7N2O4+,C1=C(C(=CC2=C1NC=[NH+]2)C(=O)O)C(=O)O,"5,6-dicarboxybenzimidazolium","1H-benzimidazol-3-ium-5,6-dicarboxylic acid",,"1H-benzimidazole-5,6-dicarboxylic acid",C1=C(C(=CC2=C1NC=N2)C(=O)O)C(=O)O,10351-75-4,C18H16N4O13S,,,,2D database
122,BPY,,C10H10N2+2,C1=C[NH+]=CC=C1C2=CC=[NH+]C=C2,"4,4'-Bipyridinium",4-pyridin-1-ium-4-ylpyridin-1-ium,,4-pyridin-4-ylpyridine,C1=CN=CC=C1C2=CC=NC=C2,553-26-4,C10H10Cl2N2,27926-72-3,,,2D database
123,DFBA,,C7H5F2N2+,C1=C2C(=CC(=C1F)F)[NH+]=CN2,"5,6-difluorobenzimidazolium","5,6-difluoro-1H-benzenediazonium  ",,"5,6-difluoro-1H-benzimidazole",C1=C2C(=CC(=C1F)F)N=CN2,78581-99-4,,,,,2D database
124,IPY,,C5H5IN+,C1=CC(=C[NH+]=C1)I,3-Iodopyridinium,3-iodopyridin-1-ium,,3-iodopyridine,C1=CC(=CN=C1)I,1120-90-7,C5H4BrN,626-55-1,,,2D database
125,mPDA,,C6H10N2+2,C1=CC(=CC(=C1)[NH3+])[NH3+],m-phenylenediammonium,(3-azaniumylphenyl)azanium,,"benzene-1,3-diamine",C1=CC(=CC(=C1)N)N,108-45-2,C6H8N2O ,95306-64-2,,,2D database
126,AEA,,C8H14N2++,C1=CC(=CC(=C1)[NH3+])CC[NH3+],3-(2-aminoethyl)anilinium,[3-(2-azaniumylethyl)phenyl]azanium,,3-(2-aminoethyl)aniline,C1=CC(=CC(=C1)N)CCN,76935-75-6,C8H13ClN2,879666-37-2,,,2D database
127,APPA,,C12H14N2+2,C1=CC(=CC=C1C2=CC=C(C=C2)[NH3+])[NH3+],"1,1'-biphenyl-4,4'-diammonium",[4-(4-aminophenyl)phenyl]azanium,,4-(4-aminophenyl)aniline,C1=CC(=CC=C1C2=CC=C(C=C2)N)N,92-87-5,C12H13ClN2,14414-68-7,"	
C12H13ClN2",,2D database
128,BrPEA,,C8H11BrN+,C1=CC(=CC=C1CC[NH3+])Br,p-bromophenylethylammonium,2-(p-bromophenyl)ethylazanium,,2-(p-bromophenyl)ethanamine),C1=CC(=CC=C1CCN)Br,73918-56-6,C8H11Br2N,206559-45-7,"	
C8H11Br2N",,2D database
129,3AP,,C6H8N3+,C1=CC(=CN=C1)C(=[NH2+])N,3-amidinopyridinium,amino(pyridin-3-yl)methylidene]azanium,,pyridine-3-carboximidamide,C1=CC(=CN=C1)C(=N)N,23255-20-1,,,,,2D database
130,4AP,,C6H8N3+,C1=CN=CC=C1C(=[NH2+])N,4-amidinopyridinium,[amino(pyridin-4-yl)methylidene]azanium,,pyridine-4-carboximidamide,C1=CN=CC=C1C(=N)N,33278-46-5,,,,,2D database
131,ClPEA,,C8H11ClN+,C1=CC=C(C(=C1)CC[NH3+])Cl,2-chlorophenylethylammonium,2-(2-chlorophenyl)ethylazanium,,2-(2-chlorophenyl)ethanamine,C1=CC=C(C(=C1)CCN)Cl,13078-80-3,C8H11Cl2N,18970-81-5,"	
C8H11Cl2N",,2D database
132,BiPhA,,C12H12N+,C1=CC=C(C=C1)C2=CC=C(C=C2)[NH3+],p-biphenylammonium,(4-phenylphenyl)azanium,,p-phenylaniline,C1=CC=C(C=C1)C2=CC=C(C=C2)N,92-67-1,C12H12ClN,2113-61-3,,,2D database
133,NAOEA,,C12H14ON+,C1=CC=C2C(=C1)C=CC=C2OCC[NH3+],Naphthalene-O-ethylammonium,2-[(naphthalen-1-yl)oxy]ethan-1-aminium,,2-naphthalen-1-yloxyethanamine,C1=CC=C2C(=C1)C=CC=C2OCCN,,,,"	
C19H20ClN",,2D database
134,NAEA,,C12H14N+,C1=CC=C2C(=C1)C=CC=C2CC[NH3+],2-naphthyleneethylammonium,2-naphthalen-1-ylethylazanium,,2-naphthalen-1-ylethanamine,C1=CC=C2C(=C1)C=CC=C2CCN,4735-50-6,,,"	
C12H11NS",,2D database
135,NADA,,C10H12N2+2,C1=CC2=C(C=CC=C2[NH3+])C(=C1)[NH3+],"1,5-Naphthalenediamine",(5-azaniumylnaphthalen-1-yl)azanium,,"naphthalene-1,5-diamine",C1=CC2=C(C=CC=C2N)C(=C1)N,2243-62-1,C10H12Cl2N2,,,,2D database
136,PYBA,,C20H20N+,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CCCC[NH3+],pyrene-butylammonium,4-pyren-1-ylbutylazanium,,4-pyren-1-ylbutan-1-amine,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CCCCN,205488-15-9,,,"	
C23H21NO",,2D database
137,API,API,C6H13N3+2,C1=C[N+](=CN1)CCC[NH3+],N-(3-aminopropyl)imidazole,3-(1H-imidazol-3-ium-3-yl)propylazanium,,3-imidazol-1-ylpropan-1-amine,C1=CN(C=N1)CCCN,5036-48-6,,,"	
C13H16FN3",,2D database
138,PYEPY,,C12H14N2+2,C1=C[NH+]=CC=C1CCC2=CC=[NH+]C=C2,4-(2-pyridin-1-ium-4-ylethyl)pyridin-1-ium,4-(2-pyridin-4-ylethyl)pyridine,,4-(2-pyridin-4-ylethyl)pyridine,C1=CN=CC=C1CCC2=CC=NC=C2,4916-57-8,,,,,2D database
139,TAZ,TzH,C2H4N3+,C1=[NH+]C=NN1,"1,2,4-triazolium","1H-1,2,4-Triazol-4-ium",,"1,2,4-Triazole",C1=NC=NN,1288-88-0, C4H8IN3,120317-69-3,,,2D database
140,3APr,3APr,C4H11N2+,C1C[NH2+]CC1N,3-aminopyrrolidinium,(3R)-pyrrolidin-1-ium-3-amine,,pyrrolidin-3-amine,C1CNCC1N,79286-79-6,C4H10N2 · 2HCl,103831-11-4,,,2D database
141,CBA,,C4H10N+,C1CC(C1)[NH3+],Cyclobutylammonium,cyclobutylazanium,,cyclobutanamine,C1CC(C1)N,2516-34-9,C4H10ClN,6291-01-6,,,2D database
142,DFCHA,,C6H12F2N+,C1CC(CCC1[NH3+])(F)F,"4,4‐difluorocyclohexylammonium","(4,4-difluorocyclohexyl)azanium",,"4,4-difluorocyclohexan-1-amine",C1CC(CCC1N)(F)F,458566-84-2,C6H12ClF2N,675112-70-6,"	
C6H12ClF2N",,2D database
143,3APY,,C5H13N2+,C1CC(CNC1)[NH3+],3-aminopyridinium,piperidin-3-ylazanium,,piperidin-3-amine,C1CC(CNC1)N,54012-73-6,C5H13ClN2,127294-75-1,,,2D database
144,CHEA,,C8H16N+,C1CCC(=CC1)CC[NH3+],2-(1-cyclohexenyl)ethylammonium,2-(cyclohexen-1-yl)ethylazanium,,2-(cyclohexen-1-yl)ethanamine,C1CCC(=CC1)CCN,3399-73-3,,,"	
C15H21ClN-",,2D database
145,CyPA,,C5H12N+,C1CCC(C1)[NH3+],Cyclopentylammonium,cyclopentylazanium,"
",cyclopentanamine,C1CCC(C1)N,1003-03-8,,,"	
C11H16ClN",,2D database
146,CyHA,,C6H14N+,C1CCC(CC1)[NH3+],Cyclohexylammonium,cyclohexylazanium,,cyclohexanamine,C1CCC(CC1)N,108-91-8,C6H15NO4S,19834-02-7,"	
C6H15NO4S",,2D database
147,CyHP,CYP,C6H14P+,C1CCC(CC1)[PH3+],Cyclohexylphosphonium,cyclohexylphosphanium,,cyclohexylphosphane,C1CCC(CC1)P,822-68-4,C6H13O3P ,1005-23-8,,,2D database
148,CyHeA,,C7H16N+,C1CCCC(CC1)[NH3+],Cycloheptylammonium,cycloheptylazanium,,Cycloheptylamine,C1CCCC(CC1)N,5452-35-7,,5062-68-0,"	
C8H18N2",,2D database
149,CyOA,,C8H18N+,C1CCCC(CCC1)[NH3+],Cyclooctylammonium,cyclooctylazanium,,Cyclooctanamine,C1CCCC(CCC1)N,5452-37-9,,,"	
C12H25N",,2D database
150,PIA,AEPi,C7H17N2+,C1CCN(CC1)CC[NH3+],1-(2-aminoethyl)piperidinium,2-piperidin-1-ylethylazanium,,2-piperidin-1-ylethanamine,C1CCN(CC1)CCN,27578-60-5,C7H18Cl2N2,90000-30-9,,,2D database
151,2AMP,2-AMP,C6H9N2+,C1=CC=NC(=C1)C[NH3+],2-(aminomethyl)piperidinium,pyridin-2-ylmethylazanium,,pyridin-2-ylmethanamine,C1=CC=NC(=C1)CN,3731-51-9,,,,,2D database
152,3AMPI,3-AMP,C6H9N2+,C1=CC(=CN=C1)C[NH3+],3-(aminomethyl)piperidinium,pyridin-3-ylmethylazanium,,pyridin-3-ylmethanamine,C1=CC(=CN=C1)CN,3731-52-0,,,,,2D database
153,4AMPI,4-AMP,C6H9N2+,C1=CN=CC=C1C[NH3+],4-(aminomethyl)piperidinium,pyridin-4-ylmethylazanium,,pyridin-4-ylmethanamine,C1=CN=CC=C1CN,3731-53-1,,,,,2D database
154,2PIA,,C5H13N2+,C1CCNC(C1)[NH3+],2-(aminomethyl)piperidinium,piperidin-2-ylazanium,,piperidin-2-amine,C1CCNC(C1)CN,45505-62-2,C6H16Cl2N2,56098-52-3,,,2D database
155,BEPI,,C11H17N2+,C1CN(CC[NH2+]1)CC2=CC=CC=C2,1-Benzylpiperazinium,1-benzylpiperazin-4-ium,,1-Benzylpiperazine,C1CN(CCN1)CC2=CC=CC=C2,2759-28-6,C11H17ClN2,110475-31-5,,,2D database
156,PIPZ,,C4H11N2+,C1CNCC[NH2+]1,Piperazinium,piperazin-1-ium,,Piperazine,C1CNCCN1,110-85-0,C4H11ClN2,6094-40-2,"	
C4H11ClN2",,2D database
157,PhPA,,C9H14N+,CC(C[NH3+])C1=CC=CC=C1,2-Phenylpropylammonium,2-phenylpropylazanium,,2-Phenylpropylamine,CC(CN)C1=CC=CC=C1,582-22-9,C9H14ClN,52991-03-4,"	
C9H14ClN",,2D database
158,ClPhEA,,C8H11ClN+,CC(C1=CC=C(C=C1)Cl)[NH3+],p-chlorophenylethylammonium,1-(4-chlorophenyl)ethylazanium,,2-(p-chlorophenyl)ethanamine,C1=CC(=CC=C1CCN)Cl,156-41-2,C8H11ClIN,1639014-61-1,,,2D database
159,PhEA,,C8H12N+,CC(C1=CC=CC=C1)[NH3+],phenylethylammonium,1-phenylethylazanium,,1-phenylethanamine,CC(C1=CC=CC=C1)N,2627-86-3,"	
C8H10ClN",4633-92-5,,,2D database
160,BrPhEA,2-BrPEA,C8H11BrN+,C1=CC=C(C(=C1)CC[NH3+])Br,2-bromophenylethylammonium,2-(2-bromophenyl)ethylazanium,,2-(2-bromophenyl)ethanamine,C1=CC=C(C(=C1)CCN)Br,65185-58-2,,,,,2D database
161,PhMEEA,,C9H14N+,CC(C[NH3+])C1=CC=CC=C1,R-β-methylphenethylamine,2-phenylpropylazanium,,2-phenylpropan-1-amine,CC(CN)C1=CC=CC=C1,582-22-9,C9H14ClN,34298-25-4,,,2D database
162,IHA,,C6H15IN+,C(CCCI)CC[NH3+],6-iodohexylammonium,6-Iodo-1-hexanamonium,,1-Iodohexan-2-amine,C(CCCI)CCN,,,,,,2D database
163,TMAEA,TMEA,C5H16N2+2,C[N+](C)(C)CC[NH3+],2-trimethylammonium ethylammonium,2-azaniumylethyl(trimethyl)azanium,,2-aminoethyl(trimethyl)azanium;iodide,C[N+](C)(C)CCN.[I-],,C5H15IN2,,,,2D database
164,MPEA,,C9H14N+,CC1=CC=C(C=C1)CC[NH3+],p-methylphenylethylammonium,2-(4-methylphenyl)ethylazanium,,2-(4-Methylphenyl)ethan-1-amine,CC1=CC=C(C=C1)CCN,3261-62-9,C9H14IN,,,,2D database
165,MPA,,C4H12N+,CCC[NH2+]C,1-methyl-propylammonium,methyl(propyl)azanium,,N-methylpropan-1-amine,CCCNC,627-35-0,"	
C4H12ClN",65845-60-5,,,2D database
166,IPPA,,C3H9NI+,C(C[NH3+])CI,3-iodopropylammonium,3-Iodo-1-propanamonium,,3-iodopropan-1-amine,C(CN)CI,110300-07-7,"	
C3H9I2N",1184350-83-1,,,2D database
167,PAM,,C5H14N+,CCCCC[NH3+],Pentylammonium,pentylazanium,,pentan-1-amine,CCCCCN,110-58-7,,,,,2D database
168,TBAI,,C4H11IN+,C(CC[NH3+])CI,4-iodobutylammonium,4-Iodo-1-butylamonium,,4-iodobutan-1-amine,C(CCI)CN,408321-59-5,,,,,2D database
169,ETHA,2ETHA,C8H20N+,CCCCC(CC)C[NH3+],2-ethyl-hexylammonium,2-ethylhexan-1-azanium,,2-ethylhexan-1-amine,CCCCC(CC)CN,104-75-6,C8H20BrN,88358-65-0,,,2D database
170,IPEM,,C5H13IN+,C(CC[NH3+])CCI,5-iodopentylammonium,5-Iodo-1-pentylamonium,,5-iodopentan-1-amine,C(CCN)CCI,,,,,,2D database
171,MHA,,C7H18N+,CCCCCC(C)[NH3+],1-methyl-hexylammonium,heptan-2-ylazanium,,heptan-2-amine,CCCCCC(C)N,123-82-0,,,,,2D database
172,HEPA,,C7H18N+,CCCCCCC[NH3+],Heptylammonium,heptylazanium,,heptan-1-amine,CCCCCCCN,111-68-2,C28H60BrN,4368-51-8 ,,,2D database
173,,,C9H22N+,CCCCCCCCC[NH3+],Nonylammonium,nonylazanium,,nonan-1-amine,CCCCCCCCCN,112-20-9,,,,,2D database
174,DEA,,C10H24N+,CCCCCCCCCC[NH3+],Decylammonium,decylazanium,,Decylamine,CCCCCCCCCCN,2016-57-1,C10H24ClN,143-09-9,,,2D database
175,EPI,,C6H15N2+,CCN1CC[NH2+]CC1,1-Ethylpiperazinium,1-ethylpiperazin-4-ium,,1-ethylpiperazine,CCN1CCNCC1,5308-25-8,,,,,2D database
176,DMDA,,C8H14N2+2,C[NH+](C)C1=CC=C(C=C1)[NH3+],"N,N-Dimethylbenzene-1,4-diammonium",(4-azaniumylphenyl)-dimethylazanium,,"4-N,4-N-dimethylbenzene-1,4-diamine",CN(C)C1=CC=C(C=C1)N,99-98-9,C8H12N2 · 2HCl,536-46-9,,,2D database
177,MPI,,C5H13N2+,CN1CC[NH2+]CC1,1-Methylpiperazinium,1-methylpiperazin-4-ium,,1-methylpiperazine,CN1CCNCC1,109-01-3,C5H14Cl2N2,34352-59-5,,,2D database
178,POEA,,C18H16ON+,C1=CC2=C3C(=C1)C=CC4=C3C(=CC(=C4)OCC[NH3+])C=C2,Pyrene-O-ethylammonium,2-pyren-2-yloxyethylazanium,,2-pyren-2-yloxyethanamine,C1=CC2=C3C(=C1)C=CC4=C3C(=CC(=C4)OCCN)C=C2,,,,,,2D database
179,AESBT,,C10H12NS3+,C1=CSC(=C1)C2=CC=C(S2)SCC[NH3+],"5-ammoniumethylsulfanyl-2,2'-bithiophene",2-(5-thiophen-2-ylthiophen-2-yl)sulfanylethylazanium,,2-(5-thiophen-2-ylthiophen-2-yl)sulfanylethanamine,C1=CSC(=C1)C2=CC=C(S2)SCCN,,,,,,2D database
180,BAESBT,,C12H18N2S4+2,C1=C(SC(=C1)SCC[NH3+])C2=CC=C(S2)SCC[NH3+],"5,5'-bis(ammoniumethylsulfanyl)- 2,2'-bithiophene",2-[5-[5-(2-azaniumylethylsulfanyl)thiophen-2-yl]thiophen-2-yl]sulfanylethylazanium,,2-[5-[5-(2-aminoethylsulfanyl)thiophen-2-yl]thiophen-2-yl]sulfanylethanamine,C1=C(SC(=C1)SCCN)C2=CC=C(S2)SCCN,,,,,,2D database
181,4Tm,,C20H20NS4+,CC1=C(SC=C1)C2=CC=C(S2)C3=C(C=C(S3)C4=CC=C(S4)CC[NH3+])C,"2-(3''',4'-dimethyl- [2,2':5',2'':5'',2'''-quaterthiophen]-5-yl)ethan-1-ammonium",2-[5-[4-methyl-5-[5-(3-methylthiophen-2-yl)thiophen-2-yl]thiophen-2-yl]thiophen-2-yl]ethylazanium,,2-[5-[4-methyl-5-[5-(3-methylthiophen-2-yl)thiophen-2-yl]thiophen-2-yl]thiophen-2-yl]ethanamine,CC1=C(SC=C1)C2=CC=C(S2)C3=C(C=C(S3)C4=CC=C(S4)CCN)C,,"	
",,,,2D database
182,AEQT,,C20H22N2S4+2,C1=C(SC(=C1)C2=CC=C(S2)C3=CC=C(S3)C4=CC=C(S4)CC[NH3+])CC[NH3+],"5,5'''-bis-(aminoethyl)-2,2':5',2'':5'',2'''-quaterthiophene",2-[5-[5-[5-[5-(2-azaniumylethyl)thiophen-2-yl]thiophen-2-yl]thiophen-2-yl]thiophen-2-yl]ethylazanium,,2-[5-[5-[5-[5-(2-aminoethyl)thiophen-2-yl]thiophen-2-yl]thiophen-2-yl]thiophen-2-yl]ethanamine,C1=C(SC(=C1)C2=CC=C(S2)C3=CC=C(S3)C4=CC=C(S4)CCN)CCN,,,,,,2D database
183,FSA,,C16H17FN+,C1=CC(=CC(=C1)F)C=CC2=CC=C(C=C2)CC[NH3+],2-(4-(3-fluoro)stilbenyl)ethanammonium,2-[4-[2-(3-fluorophenyl)ethenyl]phenyl]ethylazanium,,2-[4-[(E)-2-(3-fluorophenyl)ethenyl]phenyl]ethanamine,C1=CC(=CC(=C1)F)C=CC2=CC=C(C=C2)CCN,,,,,,2D database
184,BBDMS,bbdms,C8H20S2+2,C[S+](C)CCCC[S+](C)C,"Butane-1,4-diylbis(dimethylsulfonium)",4-dimethylsulfoniobutyl(dimethyl)sulfanium,,4-dimethylsulfoniobutyl(dimethyl)sulfanium;diiodide,C[S+](C)CCCC[S+](C)C.[I-].[I-],,,,,,2D database
185,TFMPA,,C8H9F3N+,C1=CC(=CC=C1C[NH3+])C(F)(F)F,p-trifluoromethylphenylmethylammonium,[4-(trifluoromethyl)phenyl]methylazanium,,[4-(trifluoromethyl)phenyl]methanamine,C1=CC(=CC=C1CN)C(F)(F)F,,,,,,2D database
186,NPA,neoPA,C5H14N+,CC(C)(C)C[NH3+],neo-Pentylammonium ,"2,2-dimethylpropylazanium",,"2,2-dimethylpropan-1-amine",CC(C)(C)CN,5813-64-9,C6H14N2S,61540-71-4,,,GreatCellSolar
187,MBA,iPA,"
C5H14N+",CC(C)CC[NH3+],i-Pentylammonium ,3-methylbutylazanium,,3-methylbutylazanium,CC(C)CCN,107-85-7,C8H10N2S,51571-89-2,,,GreatCellSolar
188,PYR,Pyrr,C4H10N+,C1CC[NH2+]C1,Pyrrolidinium ,pyrrolidin-1-ium,84316-19-8,pyrrolidine,C1CCNC1,123-75-1,C2H6N2O,63405-91-4,,,GreatCellSolar
189,4FPhA,p-F-PEA,C6H7FN+,C1=CC(=CC=C1[NH3+])F,4-Fluoro-Phenylammonium ,(4-fluorophenyl)azanium,,4-fluoroaniline,C1=CC(=CC=C1N)F,371-40-4,C3H5BF4N2,112725-76-5,,,GreatCellSolar
190,HPEA,HO-PEA,C8H12NO+,C1=CC(=CC=C1CC[NH3+])O  ,4-Hydroxyphenethylammonium,2-(4-hydroxyphenyl)ethylazanium  ,,4-(2-aminoethyl)phenol,C1=CC(=CC=C1CCN)O,51-67-2,C8H12INO,1256333-17-1,,,GreatCellSolar
191,MOPEA,4MeO-PEA,C9H14NO+,COC1=CC=C(C=C1)CC[NH3+],4-Methoxy-Phenethylammonium,2-(4-methoxyphenyl)ethylazanium,,2-(4-methoxyphenyl)ethanamine,COC1=CC=C(C=C1)CCN,55-81-2,C9H14INO,,,,GreatCellSolar
192,DiEA,DEA,C4H12N+,CC[NH2+]CC,Diethylammonium,diethylazanium,,N-ethylethanamine,CCNCC,109-89-7,C4H12IN,19833-78-4,,,GreatCellSolar
193,PY,Py,C5H6N+,C1=CC=[NH+]C=C1,Pyridinium,pyridin-1-ium,16969-45-2,pyridine,C1=CC=NC=C1,110-86-1,C5H6IN,18820-83-2,,,GreatCellSolar
194,DIP,Dip,C6H16N+,CCC[NH2+]CCC,Di-propylammonium,dipropylazanium,,N-propylpropan-1-amine,CCCNCCC,142-84-7,C6H16IN,14488-46-1,,,GreatCellSolar
195,MORP,Morph,C4H10NO+,C1COCC[NH2+]1,Morpholinium,morpholin-4-ium,,morpholine,C1COCCN1,110-91-8,C4H10INO,58464-45-2,,,GreatCellSolar
196,DIPA,DIPA,C6H16N+,CC(C)[NH2+]C(C)C,Di-isopropylammonium,"
di(propan-2-yl)azanium",,N-propan-2-ylpropan-2-amine,CC(C)NC(C)C,108-18-9,C6H16IN,132396-99-7,,,GreatCellSolar
197,DEPDA,DEPDA2,C7H20N2+2  ,CC[NH+](CC)CCC[NH3+],"N,N-Diethylpropane-1,3-diammonium ",3-azaniumylpropyl(diethyl)azanium,,"N',N'-diethylpropane-1,3-diamine",CCN(CC)CCCN,104-78-9,C7H20I2N2,,,,GreatCellSolar
198,PYA,,C6H16N2+2,C1CC[NH+](C1)CC[NH3+],2-Pyrrolidin-1-ium-1-ylethylammonium ,"2-pyrrolidin-1-ium-1-ylethylazanium
",,2-pyrrolidin-1-ylethanamine,C1CCN(C1)CCN,7154-73-6,C6H16I2N2,,,,GreatCellSolar
199,MPhA,MeO-PhA,C7H10NO+,COC1=CC=C(C=C1)[NH3+] ,4-Methoxy-Phenylammonium ,"
(4-methoxyphenyl)azanium",,4-methoxyaniline,COC1=CC=C(C=C1)N,104-94-9,C9H14INO,131923-87- 0,,,GreatCellSolar
200,TFPE,CF3-PA,C7H7F3N+,C1=CC(=CC=C1C(F)(F)F)[NH3+],4-Trifluoromethyl-Phenylammonium,"
[4-(trifluoromethyl)phenyl]azanium",,4-(trifluoromethyl)aniline,C1=CC(=CC=C1C(F)(F)F)N,455-14-1,C7H7IF3N,,,,GreatCellSolar
201,AZO,,C7H14N+,C1C[NH+]2CCC1CC2,Quinuclidin-1-ium,1-azoniabicyclo[2.2.2]octane,,1-azabicyclo[2.2.2]octane,C1CN2CCC1CC2,100-76-5,C7H14IN,45591-25-1,,,GreatCellSolar
202,PP,PP,C5H12N+,C1CC[NH2+]CC1,Piperidinium,piperidin-1-ium,17523-59-0,piperidine,C1CCNCC1,110-89-4,C5H12IN,21701-42-8,,,GreatCellSolar
203,PPD,PA2,C4H12N2+2,C1C[NH2+]CC[NH2+]1,"Piperazine-1,4-diium","piperazine-1,4-diium",,piperazine,C1CNCCN1,110-85-0,C4H12I2N2,58464-47-4,,,GreatCellSolar
204,DBO,,C6H14N2+2,C1C[NH+]2CC[NH+]1CC2,"1,4-Diazabicyclo[2,2,2]octane-1,4-diium","1,4-diazoniabicyclo[2.2.2]octane",,"1,4-diazabicyclo[2.2.2]octane",C1CN2CCN1CC2,280-57-9,C6H14I2N2,33322-06-4,,,GreatCellSolar
205,DiPhA,,C12H12N+,C1=CC=C(C=C1)[NH2+]C2=CC=CC=C2,Diphenylammonium,diphenylazanium,61236-17-7,N-phenylaniline,C1=CC=C(C=C1)NC2=CC=CC=C2,122-39-4,C12H12BrN,30910-47-5,,,GreatCellSolar
206,DBA,DBA,C8H20N+,CCCC[NH2+]CCCC,Di-Butylammonium ,dibutylazanium,,N-butylbutan-1-amine,CCCCNCCCC,111-92-2,C8H20BrN,10435-44-6,,,GreatCellSolar
207,TA,TA,C3H10N+,C[NH+](C)C,Trimethylammonium,trimethylazanium,,"N,N-dimethylmethanamine",CN(C)C,75-50-3,C3H10BrN,2840-24-6,,,GreatCellSolar
208,CFMA,,C7H8ClFN+,C1=CC(=C(C=C1Cl)F)C[NH3+],4-Chloro-2-fluorobenzylammonium,(4-chloro-2-fluorophenyl)methylazanium,,(4-chloro-2-fluorophenyl)methanamine,C1=CC(=C(C=C1Cl)F)CN,72235-57-5,C7H8ClFIN, 2260936-07-8,,,2D database
209,AMPMA,,C8H14N2+2,C1=CC(=CC(=C1)C[NH3+])C[NH3+],"1,3-xylylenediammonium",[3-(azaniumylmethyl)phenyl]methylazanium,,[3-(aminomethyl)phenyl]methanamine,C1=CC(=CC(=C1)CN)CN,1477-55-0,,,,,2D database
210,FPhMA,,C7H9FN+ ,C1=CC=C(C(=C1)C[NH3+])F,2-fluorobenzylammonium,(2-fluorophenyl)methylazanium,,(2-fluorophenyl)methanamine,C1=CC=C(C(=C1)CN)F,89-99-6,,,,,2D database
