ID,Abbreviation,Alternative_abbreviations,Molecular_formula,SMILE,Common_name,IUPAC_name,CAS,Parent_IUPAC,Parent_SMILE,Parent_CAS,Common_source_compound,Source_compound_CAS,Chemical_formula,Number_of_occurances,Source
25,DAH,"HDA, 1-6-HMDA",C6H17N2+,C(CCCN)CC[NH3+],Hexamethylendiammonium ,6-aminohexylazanium,,"hexane-1,6-diamine",C(CCCN)CCN,124-09-4,C6H16N2,124-09-4,NH2(CH2)6NH2,4.0,Perovskite database
26,CIEA,,C2H7ClN+,C(CCl)[NH3+],2-choloroethylammonium,2-chloroethylazanium,,2-chloroethanamine,C(CCl)N,689-98-5,C2H7Cl2N,870-24-6,,4.0,Perovskite database
27,BU,,C4H13N2+,C(CCN)C[NH3+],"1,4-butanediamine",4-aminobutylazanium,,"butane-1,4-diamine",C(CCN)CN,110-60-1,C4H12N2,110-60-1,,1.0,Perovskite database
28,IEA,,C2H7IN+,C(CI)[NH3+],Iodoethylammonium,2-iodoethylazanium,,2-iodoethanamine,C(CI)N,52689-15-3,C2H7Br2N,2576-47-8,,5.0,Perovskite database
29,DAE,EDA,C2H9N2+,C(CN)[NH3+],Ethylenediamine ,2-aminoethylazanium,,"ethane-1,2-diamine",C(CN)N,107-15-3,C2H8N2,107-15-3,NH2CH2CH2NH2,12.0,Perovskite database
30,DAP,"1.3-Pr(NH3)2, PDA, TN",C3H11N2+,C(C[NH3+])CN,"Propane-1,3-diammonium",3-aminopropylazanium,,"propane-1,3-diamine",C(CN)CN,109-76-2,C3H12I2N2,120675-53-8,,25.0,Perovskite database
31,HEA,ETA,C2H8NO+,C(CO)[NH3+],2-hydroxyethylamine,2-hydroxyethylazanium,,2-aminoethanol,C(CO)N,141-43-5,C2H7NO,141-43-5,H2NCH2CH2OH,9.0,Perovskite database
32,TMA,,C4H12N+,C[N+](C)(C)C,Tetramethylammonium ,tetramethylazanium,51-92-3,tetramethylazanium;iodide,C[N+](C)(C)C.[I-],75-58-1,C4H12IN,75-58-1,,1.0,Perovskite database
33,PTA,,C9H14N+,C[N+](C)(C)C1=CC=CC=C1,Phenyltrimethylammonium,trimethyl(phenyl)azanium,3426-74-2,trimethyl(phenyl)azanium;iodide,C[N+](C)(C)C1=CC=CC=C1.[I-],98-04-4,C9H14IN,98-04-4,,8.0,Perovskite database
34,ATMA,THM,C3H11N2+,C[N+](C)(C)N,"1,1,1-trimethylhydrazinium",amino(trimethyl)azanium,44024-83-1,amino(trimethyl)azanium;iodide,C[N+](C)(C)N.[I-],3288-80-0,C3H11IN2,3288-80-0,,7.0,Perovskite database
35,APMIM,APMim,C7H14N3+,C[N+]1=CN(C=C1)CCCN,3-(3-aminopropyl)-1-methylimidazolium,3-(3-methylimidazol-3-ium-1-yl)propan-1-amine,,3-(3-methylimidazol-3-ium-1-yl)propan-1-amine;iodide,C[N+]1=CN(C=C1)CCCN.[I-],,C10H19F6N2P,304680-35-1,,3.0,Perovskite database
