Index,perovskite_ion_type,abbreviation,alternative_abbreviations,molecular_formula,smile,common_name,iupac_name,cas_number,source_compound_iupac_name,source_compound_smile,source_compound_cas_number,number_of_occurances_in_the_perovskite_database,source
33,A,PTA,,C9H14N+,C[N+](C)(C)C1=CC=CC=C1,Phenyltrimethylammonium,trimethyl(phenyl)azanium,3426-74-2,trimethyl(phenyl)azanium;iodide,C[N+](C)(C)C1=CC=CC=C1.[I-],98-04-4,8.0,Perovskite database
34,A,ATMA,THM,C3H11N2+,C[N+](C)(C)N,"1,1,1-trimethylhydrazinium",amino(trimethyl)azanium,44024-83-1,amino(trimethyl)azanium;iodide,C[N+](C)(C)N.[I-],3288-80-0,7.0,Perovskite database
35,A,APMIM,APMim,C7H14N3+,C[N+]1=CN(C=C1)CCCN,3-(3-aminopropyl)-1-methylimidazolium,3-(3-methylimidazol-3-ium-1-yl)propan-1-amine,,3-(3-methylimidazol-3-ium-1-yl)propan-1-amine;iodide,C[N+]1=CN(C=C1)CCCN.[I-],,3.0,Perovskite database
36,A,MIC1,,C4H6NS+,C[N+]1=CSC=C1,N-methyl thiazolium,"3-methyl-1,3-thiazol-3-ium",693-99-2,"3-methyl-1,3-thiazol-3-ium;iodide",C[N+]1=CSC=C1.[I-],31766-74-2,2.0,Perovskite database
37,A,DPA,,C8H12N+,C[NH+](C)C1=CC=CC=C1,"N,N-dimethylphenylammounium",dimethyl(phenyl)azanium,,"N,N-dimethylaniline",CN(C)C1=CC=CC=C1,121-69-7,2.0,Perovskite database
38,A,DMA,DI,C2H8N+,C[NH2+]C,Dimethylammonium ,dimethylazanium,49784-85-2,N-methylmethanamine,CNC,124-40-3,14.0,Perovskite database
39,A,PMA,,C7H10N+,C[NH2+]C1=CC=CC=C1,N-Methylaniline,methyl(phenyl)azanium,,N-methylaniline,CNC1=CC=CC=C1,100-61-8,9.0,Perovskite database
40,A,ADA,Ada,C12H22N+,C[NH2+]CC12CC3CC(C1)CC(C3)C2,(adamantan-1-yl)methanammonium,1-adamantylmethyl(methyl)azanium,,1-(1-adamantyl)-N-methylmethanamine,CNCC12CC3CC(C1)CC(C3)C2,153461-22-4,1.0,Perovskite database
41,A,BrPEMA,"Br-PEA, BrPEA",C9H13BrN+,C[NH2+]CCC1=CC=C(C=C1)Br,2-(4-bromophenyl) ethanaminium,2-(4-bromophenyl)ethyl-methylazanium,,2-(4-bromophenyl)-N-methylethanamine,CNCCC1=CC=C(C=C1)Br,725683-06-7,1.0,Perovskite database
42,A,FPEMA,"F-PEA, FPEA",C9H13FN+,C[NH2+]CCC1=CC=C(C=C1)F,2-(4-fluorophenyl) ethanaminium,2-(4-fluorophenyl)ethyl-methylazanium,,2-(4-fluorophenyl)-N-methylethanamine,CNCCC1=CC=C(C=C1)F,459-28-9,1.0,Perovskite database
43,A,MA,,CH6N+,C[NH3+],Methylammonium,methylazanium,17000-00-9,methanamine,CN,74-89-5,38202.0,Perovskite database
44,A,TMS,(CH3)3S,C3H9S+,C[S+](C)C,Trimethylsulfonium,trimethylsulfanium,676-84-6,trimethylsulfanium;iodide,C[S+](C)C.[I-],2181-42-2,8.0,Perovskite database
45,A,ALA,,C3H8N+,C=CC[NH3+],Allylammonium ,prop-2-enylazanium,,prop-2-en-1-amine,C=CCN,107-11-9,2.0,Perovskite database
46,A,HIA,HA,C5H10N3+,C1=C(NC=N1)CC[NH3+],Histammonium ,2-(1H-imidazol-5-yl)ethylazanium,65592-96-3,2-(1H-imidazol-5-yl)ethanamine,C1=C(NC=N1)CCN,51-45-6,48.0,Perovskite database
47,A,IM,,C3H5N2+,C1=C[NH+]=CN1,Imidazolium ,1H-imidazol-3-ium,,1H-imidazole,C1=CN=CN1,288-32-4,18.0,Perovskite database
48,A,BBA,3BBA,C7H9BrN+,C1=CC(=CC(=C1)Br)C[NH3+],3-bromobenzylammonium  ,(3-bromophenyl)methylazanium,,(3-bromophenyl)methanamine,C1=CC(=CC(=C1)Br)CN,10269-01-9,1.0,Perovskite database
49,A,mFPEA,mF1PEA,C8H11FN+,C1=CC(=CC(=C1)F)CC[NH3+],3-fluorophenethylammonium,2-(3-fluorophenyl)ethylazanium,,2-(3-fluorophenyl)ethanamine,C1=CC(=CC(=C1)F)CCN,404-70-6,8.0,Perovskite database
50,A,APA,"BDA, BzDA",C6H10N2+2,C1=CC(=CC=C1[NH3+])[NH3+],"1,4-benzene diammonium",(4-azaniumylphenyl)azanium,,"benzene-1,4-diamine",C1=CC(=CC=C1N)N,106-50-3,20.0,Perovskite database
51,A,PDMA,,C8H14N2+2,C1=CC(=CC=C1C[NH3+])C[NH3+],"1,4-phenylenedimethanammonium",[4-(azaniumylmethyl)phenyl]methylazanium,,[4-(aminomethyl)phenyl]methanamine,C1=CC(=CC=C1CN)CN,539-48-0,32.0,Perovskite database
52,A,CPEA,Cl-PEA,C8H11ClN+,C1=CC(=CC=C1CC[NH3+])Cl,4-chlorophenylethylamine,2-(4-chlorophenyl)ethylazanium,,2-(4-chlorophenyl)ethanamine,C1=CC(=CC=C1CCN)Cl,156-41-2,4.0,Perovskite database
53,A,FPEA,"4FPEA, pF1PEA, pFPEA",C8H11FN+,C1=CC(=CC=C1CC[NH3+])F, 4-fluoro-phenethylammonium ,2-(4-fluorophenyl)ethylazanium,,2-(4-fluorophenyl)ethanamine,C1=CC(=CC=C1CCN)F,1583-88-6,12.0,Perovskite database
54,A,PyrEA,,C6H10N2+2,C1=CC=[N+](C=C1)C[NH3+],Pyridinium ethylammonium,pyridin-1-ium-1-ylmethylazanium,,pyridin-1-ium-1-ylmethanamine;iodide,C1=CC=N(C=C1)CN.[I-],,9.0,Perovskite database
55,A,IAN,C6H4NH2,C6H7IN+,C1=CC=C(C(=C1)[NH3+])I,2-iodoaniline,(2-iodophenyl)azanium,,2-iodoaniline,C1=CC=C(C(=C1)N)I,615-43-0,6.0,Perovskite database
56,A,oFPEA,oF1PEA,C8H11FN+,C1=CC=C(C(=C1)CC[NH3+])F,2-Fluorophenethylamine,2-(2-fluorophenyl)ethylazanium,,2-(2-fluorophenyl)ethanamine,C1=CC=C(C(=C1)CCN)F,52721-69-4,8.0,Perovskite database
57,A,AN,"Anyl, PA",C6H8N+,C1=CC=C(C=C1)[NH3+],Anilinium ,phenylazanium,65756-50-5,aniline,C1=CC=C(C=C1)N,62-53-3,12.0,Perovskite database
58,A,BZA,BE,C7H10N+,C1=CC=C(C=C1)C[NH3+],Benzylamine,benzylazanium,,phenylmethanamine,C1=CC=C(C=C1)CN,100-46-9,1.0,Perovskite database
59,A,PPEA,,C9H12N+,C1=CC=C(C=C1)C=CC[NH3+],3-phenyl-2-propen-1-amine,3-phenylprop-2-enylazanium,,3-phenylprop-2-en-1-amine,C1=CC=C(C=C1)C=CCN,4335-60-8,4.0,Perovskite database
