Index,perovskite_ion_type,abbreviation,alternative_abbreviations,molecular_formula,smile,common_name,iupac_name,cas_number,source_compound_iupac_name,source_compound_smile,source_compound_cas_number,number_of_occurances_in_the_perovskite_database,source
121,A,BeDCA,,C9H7N2O4+,C1=C(C(=CC2=C1NC=[NH+]2)C(=O)O)C(=O)O,"5,6-dicarboxybenzimidazolium","1H-benzimidazol-3-ium-5,6-dicarboxylic acid",,"1H-benzimidazole-5,6-dicarboxylic acid",C1=C(C(=CC2=C1NC=N2)C(=O)O)C(=O)O,10351-75-4,,2D database
122,A,BPY,,C10H10N2+2,C1=C[NH+]=CC=C1C2=CC=[NH+]C=C2,"4,4'-Bipyridinium",4-pyridin-1-ium-4-ylpyridin-1-ium,,4-pyridin-4-ylpyridine,C1=CN=CC=C1C2=CC=NC=C2,553-26-4,,2D database
123,A,DFBA,,C7H5F2N2+,C1=C2C(=CC(=C1F)F)[NH+]=CN2,"5,6-difluorobenzimidazolium","5,6-difluoro-1H-benzenediazonium  ",,"5,6-difluoro-1H-benzimidazole",C1=C2C(=CC(=C1F)F)N=CN2,78581-99-4,,2D database
124,A,IPY,,C5H5IN+,C1=CC(=C[NH+]=C1)I,3-Iodopyridinium,3-iodopyridin-1-ium,,3-iodopyridine,C1=CC(=CN=C1)I,1120-90-7,,2D database
125,A,mPDA,,C6H10N2+2,C1=CC(=CC(=C1)[NH3+])[NH3+],m-phenylenediammonium,(3-azaniumylphenyl)azanium,,"benzene-1,3-diamine",C1=CC(=CC(=C1)N)N,108-45-2,,2D database
126,A,AEA,,C8H14N2++,C1=CC(=CC(=C1)[NH3+])CC[NH3+],3-(2-aminoethyl)anilinium,[3-(2-azaniumylethyl)phenyl]azanium,,3-(2-aminoethyl)aniline,C1=CC(=CC(=C1)N)CCN,76935-75-6,,2D database
127,A,APPA,,C12H14N2+2,C1=CC(=CC=C1C2=CC=C(C=C2)[NH3+])[NH3+],"1,1'-biphenyl-4,4'-diammonium",[4-(4-aminophenyl)phenyl]azanium,,4-(4-aminophenyl)aniline,C1=CC(=CC=C1C2=CC=C(C=C2)N)N,92-87-5,,2D database
128,A,BrPEA,,C8H11BrN+,C1=CC(=CC=C1CC[NH3+])Br,p-bromophenylethylammonium,2-(p-bromophenyl)ethylazanium,,2-(p-bromophenyl)ethanamine),C1=CC(=CC=C1CCN)Br,73918-56-6,,2D database
129,A,3AP,,C6H8N3+,C1=CC(=CN=C1)C(=[NH2+])N,3-amidinopyridinium,amino(pyridin-3-yl)methylidene]azanium,,pyridine-3-carboximidamide,C1=CC(=CN=C1)C(=N)N,23255-20-1,,2D database
130,A,4AP,,C6H8N3+,C1=CN=CC=C1C(=[NH2+])N,4-amidinopyridinium,[amino(pyridin-4-yl)methylidene]azanium,,pyridine-4-carboximidamide,C1=CN=CC=C1C(=N)N,33278-46-5,,2D database
131,A,ClPEA,,C8H11ClN+,C1=CC=C(C(=C1)CC[NH3+])Cl,2-chlorophenylethylammonium,2-(2-chlorophenyl)ethylazanium,,2-(2-chlorophenyl)ethanamine,C1=CC=C(C(=C1)CCN)Cl,13078-80-3,,2D database
132,A,BiPhA,,C12H12N+,C1=CC=C(C=C1)C2=CC=C(C=C2)[NH3+],p-biphenylammonium,(4-phenylphenyl)azanium,,p-phenylaniline,C1=CC=C(C=C1)C2=CC=C(C=C2)N,92-67-1,,2D database
133,A,NAOEA,,C12H14ON+,C1=CC=C2C(=C1)C=CC=C2OCC[NH3+],Naphthalene-O-ethylammonium,2-[(naphthalen-1-yl)oxy]ethan-1-aminium,,2-naphthalen-1-yloxyethanamine,C1=CC=C2C(=C1)C=CC=C2OCCN,,,2D database
134,A,NAEA,,C12H14N+,C1=CC=C2C(=C1)C=CC=C2CC[NH3+],2-naphthyleneethylammonium,2-naphthalen-1-ylethylazanium,,2-naphthalen-1-ylethanamine,C1=CC=C2C(=C1)C=CC=C2CCN,4735-50-6,,2D database
135,A,NADA,,C10H12N2+2,C1=CC2=C(C=CC=C2[NH3+])C(=C1)[NH3+],"1,5-Naphthalenediamine",(5-azaniumylnaphthalen-1-yl)azanium,,"naphthalene-1,5-diamine",C1=CC2=C(C=CC=C2N)C(=C1)N,2243-62-1,,2D database
136,A,PYBA,,C20H20N+,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CCCC[NH3+],pyrene-butylammonium,4-pyren-1-ylbutylazanium,,4-pyren-1-ylbutan-1-amine,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CCCCN,205488-15-9,,2D database
137,A,API,API,C6H13N3+2,C1=C[N+](=CN1)CCC[NH3+],N-(3-aminopropyl)imidazole,3-(1H-imidazol-3-ium-3-yl)propylazanium,,3-imidazol-1-ylpropan-1-amine,C1=CN(C=N1)CCCN,5036-48-6,,2D database
138,A,PYEPY,,C12H14N2+2,C1=C[NH+]=CC=C1CCC2=CC=[NH+]C=C2,4-(2-pyridin-1-ium-4-ylethyl)pyridin-1-ium,4-(2-pyridin-4-ylethyl)pyridine,,4-(2-pyridin-4-ylethyl)pyridine,C1=CN=CC=C1CCC2=CC=NC=C2,4916-57-8,,2D database
139,A,TAZ,TzH,C2H4N3+,C1=[NH+]C=NN1,"1,2,4-triazolium","1H-1,2,4-Triazol-4-ium",,"1,2,4-Triazole",C1=NC=NN,1288-88-0,,2D database
140,A,3APr,3APr,C4H11N2+,C1C[NH2+]CC1N,3-aminopyrrolidinium,(3R)-pyrrolidin-1-ium-3-amine,,pyrrolidin-3-amine,C1CNCC1N,79286-79-6,,2D database
141,A,CBA,,C4H10N+,C1CC(C1)[NH3+],Cyclobutylammonium,cyclobutylazanium,,cyclobutanamine,C1CC(C1)N,2516-34-9,,2D database
142,A,DFCHA,,C6H12F2N+,C1CC(CCC1[NH3+])(F)F,"4,4‐difluorocyclohexylammonium","(4,4-difluorocyclohexyl)azanium",,"4,4-difluorocyclohexan-1-amine",C1CC(CCC1N)(F)F,458566-84-2,,2D database
143,A,3APY,,C5H13N2+,C1CC(CNC1)[NH3+],3-aminopyridinium,piperidin-3-ylazanium,,piperidin-3-amine,C1CC(CNC1)N,54012-73-6,,2D database
144,A,CHEA,,C8H16N+,C1CCC(=CC1)CC[NH3+],2-(1-cyclohexenyl)ethylammonium,2-(cyclohexen-1-yl)ethylazanium,,2-(cyclohexen-1-yl)ethanamine,C1CCC(=CC1)CCN,3399-73-3,,2D database
145,A,CyPA,,C5H12N+,C1CCC(C1)[NH3+],Cyclopentylammonium,cyclopentylazanium,"
",cyclopentanamine,C1CCC(C1)N,1003-03-8,,2D database
146,A,CyHA,,C6H14N+,C1CCC(CC1)[NH3+],Cyclohexylammonium,cyclohexylazanium,,cyclohexanamine,C1CCC(CC1)N,108-91-8,,2D database
147,A,CyHP,CYP,C6H14P+,C1CCC(CC1)[PH3+],Cyclohexylphosphonium,cyclohexylphosphanium,,cyclohexylphosphane,C1CCC(CC1)P,822-68-4,,2D database
148,A,CyHeA,,C7H16N+,C1CCCC(CC1)[NH3+],Cycloheptylammonium,cycloheptylazanium,,Cycloheptylamine,C1CCCC(CC1)N,5452-35-7,,2D database
149,A,CyOA,,C8H18N+,C1CCCC(CCC1)[NH3+],Cyclooctylammonium,cyclooctylazanium,,Cyclooctanamine,C1CCCC(CCC1)N,5452-37-9,,2D database
150,A,PIA,AEPi,C7H17N2+,C1CCN(CC1)CC[NH3+],1-(2-aminoethyl)piperidinium,2-piperidin-1-ylethylazanium,,2-piperidin-1-ylethanamine,C1CCN(CC1)CCN,27578-60-5,,2D database
151,A,2AMP,2-AMP,C6H9N2+,C1=CC=NC(=C1)C[NH3+],2-(aminomethyl)piperidinium,pyridin-2-ylmethylazanium,,pyridin-2-ylmethanamine,C1=CC=NC(=C1)CN,3731-51-9,,2D database
152,A,3AMPI,3-AMP,C6H9N2+,C1=CC(=CN=C1)C[NH3+],3-(aminomethyl)piperidinium,pyridin-3-ylmethylazanium,,pyridin-3-ylmethanamine,C1=CC(=CN=C1)CN,3731-52-0,,2D database
153,A,4AMPI,4-AMP,C6H9N2+,C1=CN=CC=C1C[NH3+],4-(aminomethyl)piperidinium,pyridin-4-ylmethylazanium,,pyridin-4-ylmethanamine,C1=CN=CC=C1CN,3731-53-1,,2D database
154,A,2PIA,,C5H13N2+,C1CCNC(C1)[NH3+],2-(aminomethyl)piperidinium,piperidin-2-ylazanium,,piperidin-2-amine,C1CCNC(C1)CN,45505-62-2,,2D database
155,A,BEPI,,C11H17N2+,C1CN(CC[NH2+]1)CC2=CC=CC=C2,1-Benzylpiperazinium,1-benzylpiperazin-4-ium,,1-Benzylpiperazine,C1CN(CCN1)CC2=CC=CC=C2,2759-28-6,,2D database
156,A,PIPZ,,C4H11N2+,C1CNCC[NH2+]1,Piperazinium,piperazin-1-ium,,Piperazine,C1CNCCN1,110-85-0,,2D database
157,A,PhPA,,C9H14N+,CC(C[NH3+])C1=CC=CC=C1,2-Phenylpropylammonium,2-phenylpropylazanium,,2-Phenylpropylamine,CC(CN)C1=CC=CC=C1,582-22-9,,2D database
158,A,ClPhEA,,C8H11ClN+,CC(C1=CC=C(C=C1)Cl)[NH3+],p-chlorophenylethylammonium,1-(4-chlorophenyl)ethylazanium,,2-(p-chlorophenyl)ethanamine,C1=CC(=CC=C1CCN)Cl,156-41-2,,2D database
159,A,PhEA,,C8H12N+,CC(C1=CC=CC=C1)[NH3+],phenylethylammonium,1-phenylethylazanium,,1-phenylethanamine,CC(C1=CC=CC=C1)N,2627-86-3,,2D database
160,A,BrPhEA,2-BrPEA,C8H11BrN+,C1=CC=C(C(=C1)CC[NH3+])Br,2-bromophenylethylammonium,2-(2-bromophenyl)ethylazanium,,2-(2-bromophenyl)ethanamine,C1=CC=C(C(=C1)CCN)Br,65185-58-2,,2D database
161,A,PhMEEA,,C9H14N+,CC(C[NH3+])C1=CC=CC=C1,R-β-methylphenethylamine,2-phenylpropylazanium,,2-phenylpropan-1-amine,CC(CN)C1=CC=CC=C1,582-22-9,,2D database
162,A,IHA,,C6H15IN+,C(CCCI)CC[NH3+],6-iodohexylammonium,6-Iodo-1-hexanamonium,,1-Iodohexan-2-amine,C(CCCI)CCN,,,2D database
163,A,TMAEA,TMEA,C5H16N2+2,C[N+](C)(C)CC[NH3+],2-trimethylammonium ethylammonium,2-azaniumylethyl(trimethyl)azanium,,2-aminoethyl(trimethyl)azanium;iodide,C[N+](C)(C)CCN.[I-],,,2D database
164,A,MPEA,,C9H14N+,CC1=CC=C(C=C1)CC[NH3+],p-methylphenylethylammonium,2-(4-methylphenyl)ethylazanium,,2-(4-Methylphenyl)ethan-1-amine,CC1=CC=C(C=C1)CCN,3261-62-9,,2D database
165,A,MPA,,C4H12N+,CCC[NH2+]C,1-methyl-propylammonium,methyl(propyl)azanium,,N-methylpropan-1-amine,CCCNC,627-35-0,,2D database
166,A,IPPA,,C3H9NI+,C(C[NH3+])CI,3-iodopropylammonium,3-Iodo-1-propanamonium,,3-iodopropan-1-amine,C(CN)CI,110300-07-7,,2D database
167,A,PAM,,C5H14N+,CCCCC[NH3+],Pentylammonium,pentylazanium,,pentan-1-amine,CCCCCN,110-58-7,,2D database
168,A,TBAI,,C4H11IN+,C(CC[NH3+])CI,4-iodobutylammonium,4-Iodo-1-butylamonium,,4-iodobutan-1-amine,C(CCI)CN,408321-59-5,,2D database
169,A,ETHA,2ETHA,C8H20N+,CCCCC(CC)C[NH3+],2-ethyl-hexylammonium,2-ethylhexan-1-azanium,,2-ethylhexan-1-amine,CCCCC(CC)CN,104-75-6,,2D database
170,A,IPEM,,C5H13IN+,C(CC[NH3+])CCI,5-iodopentylammonium,5-Iodo-1-pentylamonium,,5-iodopentan-1-amine,C(CCN)CCI,,,2D database
171,A,MHA,,C7H18N+,CCCCCC(C)[NH3+],1-methyl-hexylammonium,heptan-2-ylazanium,,heptan-2-amine,CCCCCC(C)N,123-82-0,,2D database
172,A,HEPA,,C7H18N+,CCCCCCC[NH3+],Heptylammonium,heptylazanium,,heptan-1-amine,CCCCCCCN,111-68-2,,2D database
173,A,,,C9H22N+,CCCCCCCCC[NH3+],Nonylammonium,nonylazanium,,nonan-1-amine,CCCCCCCCCN,112-20-9,,2D database
174,A,DEA,,C10H24N+,CCCCCCCCCC[NH3+],Decylammonium,decylazanium,,Decylamine,CCCCCCCCCCN,2016-57-1,,2D database
175,A,EPI,,C6H15N2+,CCN1CC[NH2+]CC1,1-Ethylpiperazinium,1-ethylpiperazin-4-ium,,1-ethylpiperazine,CCN1CCNCC1,5308-25-8,,2D database
176,A,DMDA,,C8H14N2+2,C[NH+](C)C1=CC=C(C=C1)[NH3+],"N,N-Dimethylbenzene-1,4-diammonium",(4-azaniumylphenyl)-dimethylazanium,,"4-N,4-N-dimethylbenzene-1,4-diamine",CN(C)C1=CC=C(C=C1)N,99-98-9,,2D database
177,A,MPI,,C5H13N2+,CN1CC[NH2+]CC1,1-Methylpiperazinium,1-methylpiperazin-4-ium,,1-methylpiperazine,CN1CCNCC1,109-01-3,,2D database
178,A,POEA,,C18H16ON+,C1=CC2=C3C(=C1)C=CC4=C3C(=CC(=C4)OCC[NH3+])C=C2,Pyrene-O-ethylammonium,2-pyren-2-yloxyethylazanium,,2-pyren-2-yloxyethanamine,C1=CC2=C3C(=C1)C=CC4=C3C(=CC(=C4)OCCN)C=C2,,,2D database
179,A,AESBT,,C10H12NS3+,C1=CSC(=C1)C2=CC=C(S2)SCC[NH3+],"5-ammoniumethylsulfanyl-2,2'-bithiophene",2-(5-thiophen-2-ylthiophen-2-yl)sulfanylethylazanium,,2-(5-thiophen-2-ylthiophen-2-yl)sulfanylethanamine,C1=CSC(=C1)C2=CC=C(S2)SCCN,,,2D database
180,A,BAESBT,,C12H18N2S4+2,C1=C(SC(=C1)SCC[NH3+])C2=CC=C(S2)SCC[NH3+],"5,5'-bis(ammoniumethylsulfanyl)- 2,2'-bithiophene",2-[5-[5-(2-azaniumylethylsulfanyl)thiophen-2-yl]thiophen-2-yl]sulfanylethylazanium,,2-[5-[5-(2-aminoethylsulfanyl)thiophen-2-yl]thiophen-2-yl]sulfanylethanamine,C1=C(SC(=C1)SCCN)C2=CC=C(S2)SCCN,,,2D database
181,A,4Tm,,C20H20NS4+,CC1=C(SC=C1)C2=CC=C(S2)C3=C(C=C(S3)C4=CC=C(S4)CC[NH3+])C,"2-(3''',4'-dimethyl- [2,2':5',2'':5'',2'''-quaterthiophen]-5-yl)ethan-1-ammonium",2-[5-[4-methyl-5-[5-(3-methylthiophen-2-yl)thiophen-2-yl]thiophen-2-yl]thiophen-2-yl]ethylazanium,,2-[5-[4-methyl-5-[5-(3-methylthiophen-2-yl)thiophen-2-yl]thiophen-2-yl]thiophen-2-yl]ethanamine,CC1=C(SC=C1)C2=CC=C(S2)C3=C(C=C(S3)C4=CC=C(S4)CCN)C,,,2D database
182,A,AEQT,,C20H22N2S4+2,C1=C(SC(=C1)C2=CC=C(S2)C3=CC=C(S3)C4=CC=C(S4)CC[NH3+])CC[NH3+],"5,5'''-bis-(aminoethyl)-2,2':5',2'':5'',2'''-quaterthiophene",2-[5-[5-[5-[5-(2-azaniumylethyl)thiophen-2-yl]thiophen-2-yl]thiophen-2-yl]thiophen-2-yl]ethylazanium,,2-[5-[5-[5-[5-(2-aminoethyl)thiophen-2-yl]thiophen-2-yl]thiophen-2-yl]thiophen-2-yl]ethanamine,C1=C(SC(=C1)C2=CC=C(S2)C3=CC=C(S3)C4=CC=C(S4)CCN)CCN,,,2D database
183,A,FSA,,C16H17FN+,C1=CC(=CC(=C1)F)C=CC2=CC=C(C=C2)CC[NH3+],2-(4-(3-fluoro)stilbenyl)ethanammonium,2-[4-[2-(3-fluorophenyl)ethenyl]phenyl]ethylazanium,,2-[4-[(E)-2-(3-fluorophenyl)ethenyl]phenyl]ethanamine,C1=CC(=CC(=C1)F)C=CC2=CC=C(C=C2)CCN,,,2D database
184,A,BBDMS,bbdms,C8H20S2+2,C[S+](C)CCCC[S+](C)C,"Butane-1,4-diylbis(dimethylsulfonium)",4-dimethylsulfoniobutyl(dimethyl)sulfanium,,4-dimethylsulfoniobutyl(dimethyl)sulfanium;diiodide,C[S+](C)CCCC[S+](C)C.[I-].[I-],,,2D database
185,A,TFMPA,,C8H9F3N+,C1=CC(=CC=C1C[NH3+])C(F)(F)F,p-trifluoromethylphenylmethylammonium,[4-(trifluoromethyl)phenyl]methylazanium,,[4-(trifluoromethyl)phenyl]methanamine,C1=CC(=CC=C1CN)C(F)(F)F,,,2D database
186,A,NPA,neoPA,C5H14N+,CC(C)(C)C[NH3+],neo-Pentylammonium ,"2,2-dimethylpropylazanium",,"2,2-dimethylpropan-1-amine",CC(C)(C)CN,5813-64-9,,GreatCellSolar
187,A,MBA,iPA,"
C5H14N+",CC(C)CC[NH3+],i-Pentylammonium ,3-methylbutylazanium,,3-methylbutylazanium,CC(C)CCN,107-85-7,,GreatCellSolar
188,A,PYR,Pyrr,C4H10N+,C1CC[NH2+]C1,Pyrrolidinium ,pyrrolidin-1-ium,84316-19-8,pyrrolidine,C1CCNC1,123-75-1,,GreatCellSolar
189,A,4FPhA,p-F-PEA,C6H7FN+,C1=CC(=CC=C1[NH3+])F,4-Fluoro-Phenylammonium ,(4-fluorophenyl)azanium,,4-fluoroaniline,C1=CC(=CC=C1N)F,371-40-4,,GreatCellSolar
190,A,HPEA,HO-PEA,C8H12NO+,C1=CC(=CC=C1CC[NH3+])O  ,4-Hydroxyphenethylammonium,2-(4-hydroxyphenyl)ethylazanium  ,,4-(2-aminoethyl)phenol,C1=CC(=CC=C1CCN)O,51-67-2,,GreatCellSolar
191,A,MOPEA,4MeO-PEA,C9H14NO+,COC1=CC=C(C=C1)CC[NH3+],4-Methoxy-Phenethylammonium,2-(4-methoxyphenyl)ethylazanium,,2-(4-methoxyphenyl)ethanamine,COC1=CC=C(C=C1)CCN,55-81-2,,GreatCellSolar
192,A,DiEA,DEA,C4H12N+,CC[NH2+]CC,Diethylammonium,diethylazanium,,N-ethylethanamine,CCNCC,109-89-7,,GreatCellSolar
193,A,PY,Py,C5H6N+,C1=CC=[NH+]C=C1,Pyridinium,pyridin-1-ium,16969-45-2,pyridine,C1=CC=NC=C1,110-86-1,,GreatCellSolar
194,A,DIP,Dip,C6H16N+,CCC[NH2+]CCC,Di-propylammonium,dipropylazanium,,N-propylpropan-1-amine,CCCNCCC,142-84-7,,GreatCellSolar
195,A,MORP,Morph,C4H10NO+,C1COCC[NH2+]1,Morpholinium,morpholin-4-ium,,morpholine,C1COCCN1,110-91-8,,GreatCellSolar
196,A,DIPA,DIPA,C6H16N+,CC(C)[NH2+]C(C)C,Di-isopropylammonium,"
di(propan-2-yl)azanium",,N-propan-2-ylpropan-2-amine,CC(C)NC(C)C,108-18-9,,GreatCellSolar
197,A,DEPDA,DEPDA2,C7H20N2+2  ,CC[NH+](CC)CCC[NH3+],"N,N-Diethylpropane-1,3-diammonium ",3-azaniumylpropyl(diethyl)azanium,,"N',N'-diethylpropane-1,3-diamine",CCN(CC)CCCN,104-78-9,,GreatCellSolar
198,A,PYA,,C6H16N2+2,C1CC[NH+](C1)CC[NH3+],2-Pyrrolidin-1-ium-1-ylethylammonium ,"2-pyrrolidin-1-ium-1-ylethylazanium
",,2-pyrrolidin-1-ylethanamine,C1CCN(C1)CCN,7154-73-6,,GreatCellSolar
199,A,MPhA,MeO-PhA,C7H10NO+,COC1=CC=C(C=C1)[NH3+] ,4-Methoxy-Phenylammonium ,"
(4-methoxyphenyl)azanium",,4-methoxyaniline,COC1=CC=C(C=C1)N,104-94-9,,GreatCellSolar
200,A,TFPE,CF3-PA,C7H7F3N+,C1=CC(=CC=C1C(F)(F)F)[NH3+],4-Trifluoromethyl-Phenylammonium,"
[4-(trifluoromethyl)phenyl]azanium",,4-(trifluoromethyl)aniline,C1=CC(=CC=C1C(F)(F)F)N,455-14-1,,GreatCellSolar
201,A,AZO,,C7H14N+,C1C[NH+]2CCC1CC2,Quinuclidin-1-ium,1-azoniabicyclo[2.2.2]octane,,1-azabicyclo[2.2.2]octane,C1CN2CCC1CC2,100-76-5,,GreatCellSolar
202,A,PP,PP,C5H12N+,C1CC[NH2+]CC1,Piperidinium,piperidin-1-ium,17523-59-0,piperidine,C1CCNCC1,110-89-4,,GreatCellSolar
203,A,PPD,PA2,C4H12N2+2,C1C[NH2+]CC[NH2+]1,"Piperazine-1,4-diium","piperazine-1,4-diium",,piperazine,C1CNCCN1,110-85-0,,GreatCellSolar
204,A,DBO,,C6H14N2+2,C1C[NH+]2CC[NH+]1CC2,"1,4-Diazabicyclo[2,2,2]octane-1,4-diium","1,4-diazoniabicyclo[2.2.2]octane",,"1,4-diazabicyclo[2.2.2]octane",C1CN2CCN1CC2,280-57-9,,GreatCellSolar
205,A,DiPhA,,C12H12N+,C1=CC=C(C=C1)[NH2+]C2=CC=CC=C2,Diphenylammonium,diphenylazanium,61236-17-7,N-phenylaniline,C1=CC=C(C=C1)NC2=CC=CC=C2,122-39-4,,GreatCellSolar
206,A,DBA,DBA,C8H20N+,CCCC[NH2+]CCCC,Di-Butylammonium ,dibutylazanium,,N-butylbutan-1-amine,CCCCNCCCC,111-92-2,,GreatCellSolar
207,A,TA,TA,C3H10N+,C[NH+](C)C,Trimethylammonium,trimethylazanium,,"N,N-dimethylmethanamine",CN(C)C,75-50-3,,GreatCellSolar
208,A,CFMA,,C7H8ClFN+,C1=CC(=C(C=C1Cl)F)C[NH3+],4-Chloro-2-fluorobenzylammonium,(4-chloro-2-fluorophenyl)methylazanium,,(4-chloro-2-fluorophenyl)methanamine,C1=CC(=C(C=C1Cl)F)CN,72235-57-5,,2D database
209,A,AMPMA,,C8H14N2+2,C1=CC(=CC(=C1)C[NH3+])C[NH3+],"1,3-xylylenediammonium",[3-(azaniumylmethyl)phenyl]methylazanium,,[3-(aminomethyl)phenyl]methanamine,C1=CC(=CC(=C1)CN)CN,1477-55-0,,2D database
210,A,FPhMA,,C7H9FN+ ,C1=CC=C(C(=C1)C[NH3+])F,2-fluorobenzylammonium,(2-fluorophenyl)methylazanium,,(2-fluorophenyl)methanamine,C1=CC=C(C(=C1)CN)F,89-99-6,,2D database
211,A,BPA,,C3H9BrN+  ,C(C[NH3+])CBr,3-bromopropylammonium,3-bromopropylazanium ,,3-bromopropan-1-amine,C(CN)CBr,18370-81-5,,2D database
212,A,ThYEA,,C10H12NS2+,C1=CSC(=C1)C2=CC=C(S2)CC[NH3+],2-(5-thiophen-2-ylthiophen-2-yl)ethylazanium,2-(5-thiophen-2-ylthiophen-2-yl)ethylazanium,,2-(5-thiophen-2-ylthiophen-2-yl)ethanamine,C1=CSC(=C1)C2=CC=C(S2)CCN,,,2D database
213,A,BPP,,C5H5BrN+,C1=CC(=C[NH+]=C1)Br,3-bromopyridinium,3-bromopyridin-1-ium,,3-bromopyridine,C1=CC(=CN=C1)Br,626-55-1,,2D database
214,A,SEA,,C2H8NS+,C(CS)[NH3+],Cysteamine,2-sulfanylethylazanium,,2-aminoethanethiol,C(CS)N,60-23-1,,2D database
215,A,TMHDA,,C10H18N2+2 ,C[NH+](C)C1=CC=C(C=C1)[NH+](C)C,"N,N,N',N'-tetramethyl-1,6-hexanediammonium",[4-(dimethylazaniumyl)phenyl]-dimethylazanium,,"1-N,1-N,4-N,4-N-tetramethylbenzene-1,4-diamine",CN(C)C1=CC=C(C=C1)N(C)C,100-22-1,,2D database
216,A,TMEDA,,C6H18N2+2,C[NH+](C)CC[NH+](C)C,"N,N,N',N'-tetramethylethylenediammonium",2-(dimethylazaniumyl)ethyl-dimethylazanium,,"N,N,N',N'-tetramethylethane-1,2-diamine",CN(C)CCN(C)C,110-18-9,,2D database
217,A,DCPEA,dCl-PEA,C8H10Cl2N+,C1=C(C=C(C=C1Cl)Cl)CC[NH3+],"2-(3,5-Dichlorophenyl)ethyl-1-ammonium","2-(3,5-dichlorophenyl)ethylazanium",,"2-(3,5-dichlorophenyl)ethanamine",C1=C(C=C(C=C1Cl)Cl)CCN,67851-51-8,,2D database
218,A,AAA,,C2H6NO2+,C(C(=O)O)[NH3+],(2-carboxy)methylammonium,carboxymethylazanium,,2-aminoacetic acid,C(C(=O)O)N,56-40-6,,2D database
219,A,MMA,,C8H12NO+,C[NH2+]C1=CC=C(C=C1)OC,4-Methoxy-N-methylanilinium,(4-methoxyphenyl)-methylazanium,,4-methoxy-N-methylaniline,NC1=CC=C(C=C1)OC,5961-59-1,,2D database
220,A,BMA,,C8H12N+,C[NH2+]CC1=CC=CC=C1,4-methylbenzylammonium,benzyl(methyl)azanium,,N-methyl-1-phenylmethanamine,CNCC1=CC=CC=C1,103-67-3,,2D database
221,A,BPMM,,C8H11BrN+ ,C[NH2+]CC1=CC(=CC=C1)Br,3-bromo-N-methylbenzylammonium, (3-bromophenyl)methyl-methylazanium ,,1-(3-bromophenyl)-N-methylmethanamine,CNCC1=CC(=CC=C1)Br,67344-77-8,,2D database
222,A,CPMM,,C8H11ClN+  ,C[NH2+]CC1=CC(=CC=C1)Cl,3-chloro-N-methylbenzylammonium,(3-chlorophenyl)methyl-methylazanium ,,1-(3-chlorophenyl)-N-methylmethanamine,CNCC1=CC(=CC=C1)Cl,39191-07-6,,2D database
223,A,HPEM,,C9H14NO+,C[NH2+]CCC1=CC=C(C=C1)O,2-(4-Methoxyphenyl)ethyl-1-ammonium,2-(4-hydroxyphenyl)ethyl-methylazanium,,4-[2-(methylamino)ethyl]phenol,CNCCC1=CC=C(C=C1)O,370-98-9,,2D database
224,A,TMP,,C5H16NP+2,C[P+](C)(C)CC[NH3+],(2-aminoethyl)trimethylphosphanium,2-azaniumylethyl(trimethyl)phosphanium,,2-aminoethyl(trimethyl)phosphanium;chloride,C[P+](C)(C)CCN.[Cl-],,,2D database
225,A,NBA,,C14H18NO+,C1=CC=C2C(=C1)C=CC=C2OCCCC[NH3+],4-[(Naphthalen-1-yl)oxy]butyl-1-ammonium,4-naphthalen-1-yloxybutylazanium,,4-naphthalen-1-yloxybutan-1-amine,C1=CC=C2C(=C1)C=CC=C2OCCCCN,,,2D database
226,A,MLA,,C3H8N6+2,C1(=[NH+]C(=NC(=[NH+]1)N)N)N,Melamine,"1,3,5-triazin-1-ium-2,4,6-triamine",108-78-1,"1,3,5-triazine-2,4,6-triamine",C1(=NC(=NC(=N1)N)N)N,108-78-1,,2D database
227,A,TFBDA,4F-PhDMA,C8H9F4N2+,C(C1=C(C(=C(C(=C1F)F)CN)F)F)[NH3+],"2,3,5,6-tetrafluoro-1,4-phenylenedimethanammonium","[4-(aminomethyl)-2,3,5,6-tetrafluorophenyl]methylazanium",,"[4-(aminomethyl)-2,3,5,6-tetrafluorophenyl]methanamine",C(C1=C(C(=C(C(=C1F)F)CN)F)F)N,89992-50-7,,2D database
228,A,TT,,C22H20NS5+,[NH3+]CCc1ccc(s1)C1C=C(C)C(S1)c1sc2cc(sc2c1)c1sccc1C,Thienothiophene,"2-[5-[4-methyl-5-[2-(3-methylthiophen-2-yl)thieno[3,2-b]thiophen-5-yl]-2,5-dihydrothiophen-2-yl]thiophen-2-yl]ethylazanium",,"2-[5-[4-methyl-5-[2-(3-methylthiophen-2-yl)thieno[3,2-b]thiophen-5-yl]-2,5-dihydrothiophen-2-yl]thiophen-2-yl]ethanamine",NCCc1ccc(s1)C1C=C(C)C(S1)c1sc2cc(sc2c1)c1sccc1C,,,2D database
