dihedral,ideal_angle,extracted_angle,error
N1-C1-C2-C3,305.81060509576173,59.842987458594955,245.96761763716677
C1-C2-C3-C10,304.3815832389518,129.50043281047897,174.88115042847284
C1-C2-C3-C4,179.04781494126223,254.3489526870454,75.30113774578317
C2-C3-C10-C9,183.05073951254045,95.05756884493657,87.99317066760388
C4-C3-C10-C9,308.0002950110882,330.0435128111452,22.043217800056993
C2-C3-C4-C5,125.15365457979112,199.77635125694363,74.6226966771525
C10-C3-C4-C5,358.794191008691,326.2514579263238,32.54273308236719
C3-C4-C5-C6,53.91643989438624,65.76178858744333,11.845348693057097
C4-C5-C6-C7,184.73889551671164,94.96196877149785,89.77692674521379
C4-C5-C6-C9,309.01412882188504,331.42598151029983,22.411852688414797
C5-C6-C7-C8,294.3154496193395,187.7024154848865,106.61303413445302
C9-C6-C7-C8,169.55402383099866,310.8669313054822,141.31290747448352
C5-C6-C9-C10,357.4465812650282,325.5508137454116,31.89576751961664
C7-C6-C9-C10,124.31807884247432,204.0286155790007,79.71053673652638
C6-C7-C8-N2,79.9652633541885,294.04163266497227,214.07636931078378
C6-C9-C10-C3,54.8508479240655,66.75391268206238,11.90306475799688
