dihedral,ideal_angle,extracted_angle,error
N1-C1-C2-C3,181.47585016612894,191.9028121029864,10.426961936857452
C1-C2-C3-C4,181.12873947121747,184.9779929025751,3.8492534313576243
C2-C3-C4-C5,183.22278972009013,192.73231794045847,9.509528220368338
C3-C4-C5-C6,182.8411989181244,183.8138766716391,0.972677753514688
C4-C5-C6-C7,184.36855032041495,190.539326506276,6.170776185861058
C5-C6-C7-C8,184.91064612287082,187.41772448004545,2.5070783571746347
C6-C7-C8-N2,183.04754190120684,187.1187307598787,4.07118885867186
