bond,ideal_length,extracted_length,error
N1-C7,1.5106746939275908,1.4910789337789596,0.01959576014863118
N2-C11,1.5123144024414321,1.4907427687826145,0.021571633658817646
C1-C2,1.5394840469967823,1.5311929517931155,0.008291095203666776
C2-C3,1.5383992607297856,1.5330416583959812,0.005357602333804445
C2-C4,1.5519694661464505,1.5379060801567268,0.014063385989723676
C2-C8,1.5516880993402298,1.538377559311727,0.013310540028502738
C4-C5,1.531503267551437,1.523099200056944,0.008404067494492962
C5-C6,1.5329653199460858,1.523725483108204,0.009239836837881654
C6-C7,1.5247711186134776,1.5124186025237067,0.012352516089770837
C8-C9,1.5317192723939246,1.5219501966021753,0.009769075791749238
C9-C10,1.5335451032576397,1.5239094952665695,0.009635607991070216
C10-C11,1.5248707170733404,1.5124568745900804,0.012413842483260051
