dihedral,ideal_angle,extracted_angle,error
C1-C2-C4-C5,294.81740994456055,302.79478613421367,7.977376189653114
C3-C2-C4-C5,55.80928848861935,65.05376171857131,9.244473229951957
C8-C2-C4-C5,175.76071563867202,183.61109817642037,7.850382537748345
C1-C2-C8-C9,64.30268611029496,57.17715973880945,7.125526371485506
C3-C2-C8-C9,303.21448602007246,294.971672127942,8.24281389213047
C4-C2-C8-C9,183.32062697006236,176.4031398102728,6.917487159789573
C2-C4-C5-C6,172.48038990428194,182.88841315818615,10.408023253904219
C4-C5-C6-C7,180.84631490415842,181.8574829090995,1.0111680049410836
C5-C6-C7-N1,178.15477407656368,183.13109761943966,4.976323542875974
C2-C8-C9-C10,184.7925321044423,177.11070339205133,7.681828712390967
C8-C9-C10-C11,178.95495238358112,180.49859706338884,1.543644679807727
C9-C10-C11-N2,178.61295697985128,175.03946986406226,3.573487115789021
