bond,ideal_length,extracted_length,error
N1-C1,1.5239520746966926,1.498819863006653,0.025132211690039652
N2-C4,1.5238859541963412,1.4988958563543946,0.024990097841946612
C1-C6,1.5258691029351126,1.5235610021978137,0.0023081007372989237
C1-C2,1.5259039742674911,1.5183400110043836,0.007563963263107487
C2-C3,1.550195025916816,1.523288846993576,0.0269061789232401
C3-C4,1.5259007837904663,1.5235915267454467,0.002309257045019608
C4-C5,1.5258127066964304,1.5183922006284942,0.007420506067936206
C5-C6,1.5502397170746818,1.5233005876278622,0.026939129446819532
