dihedral,ideal_angle,extracted_angle,error
C1-C2-C4-C5,310.69298835743615,43.454303141207824,267.2386852162283
C3-C2-C4-C5,68.11691966388004,287.60414510763906,219.48722544375903
C7-C2-C4-C5,189.31560739877804,165.6717823911222,23.643825007655835
C1-C2-C7-C9,191.06484944793866,179.9943067192689,11.07054272866975
C1-C2-C7-C8,311.1049943859089,61.85099970098189,249.25399468492702
C1-C2-C7-C10,71.30710777957277,303.88161118366185,232.57450340408906
C4-C2-C7-C9,311.51054582045487,56.0897764192081,255.42076940124676
C4-C2-C7-C8,71.55069075842515,297.9464694009211,226.39577864249594
C4-C2-C7-C10,191.752804152089,179.97708088360105,11.775723268487951
C3-C2-C7-C9,71.14756512123806,298.1238026671145,226.97623754587642
C3-C2-C7-C8,191.18771005920834,179.98049564882746,11.207214410380885
C3-C2-C7-C10,311.3898234528722,62.01110713150737,249.3787163213648
C2-C4-C5-C6,184.57348518940498,153.00396618961219,31.56951899979279
C4-C5-C6-N1,176.79107026936228,195.56826268907747,18.777192419715192
C2-C7-C10-C11,186.8221588546687,194.31073465062138,7.488575795952698
C9-C7-C10-C11,65.51351107237821,316.5188766613572,251.00536558897898
C8-C7-C10-C11,308.01060126187446,72.37705924448647,235.63354201738798
C7-C10-C11-C12,179.596874029529,207.00832659012056,27.411452560591556
C10-C11-C12-N2,176.76028836860266,164.43292589710484,12.327362471497821
