angle,ideal_angle,extracted_angle,error
N1-C1-C2,112.26213291096381,108.57434461312543,3.687788297838381
C1-C2-C3,110.89961267662113,113.19530519115085,2.295692514529719
C2-C3-C4,112.9564023929263,111.04141956648435,1.9149828264419426
C3-C4-C5,112.93107453510358,114.03856901339917,1.1074944782955924
C4-C5-C6,113.46234208298686,112.30173330776105,1.1606087752258105
C5-C6-C7,112.51351842608182,113.03826187195018,0.5247434458683671
C6-C7-C8,111.21806505304725,110.56821140687029,0.6498536461769646
N2-C8-C7,112.14080690909175,111.01446239442274,1.1263445146690145
