dihedral,ideal_angle,extracted_angle,error
C1-C2-C4-C5,294.81740994456055,75.03669063179426,219.78071931276628
C3-C2-C4-C5,55.80928848861935,314.14200355809584,258.3327150694765
C8-C2-C4-C5,175.76071563867202,194.80614011318855,19.045424474516523
C1-C2-C8-C9,64.30268611029496,309.0495094288062,244.74682331851122
C3-C2-C8-C9,303.21448602007246,70.1794035963905,233.03508242368196
C4-C2-C8-C9,183.32062697006236,189.70677663505478,6.386149664992416
C2-C4-C5-C6,172.48038990428194,178.42208945778683,5.94169955350489
C4-C5-C6-C7,180.84631490415842,186.47361934975893,5.627304445600515
C5-C6-C7-N1,178.15477407656368,165.295151384298,12.859622692265674
C2-C8-C9-C10,184.7925321044423,193.8204691557872,9.027937051344907
C8-C9-C10-C11,178.95495238358112,178.9337637507064,0.0211886328747255
C9-C10-C11-N2,178.61295697985128,64.3955395376408,114.21741744221048
