dihedral,ideal_angle,extracted_angle,error
C1-C2-C4-C5,310.69298835743615,71.07190296082248,239.62108539661367
C3-C2-C4-C5,68.11691966388004,313.0943196917066,244.97740002782655
C7-C2-C4-C5,189.31560739877804,192.28817202687148,2.972564628093437
C1-C2-C7-C9,191.06484944793866,195.00971119104508,3.9448617431064292
C1-C2-C7-C8,311.1049943859089,74.84047377362519,236.26452061228372
C1-C2-C7-C10,71.30710777957277,315.8839539788685,244.5768461992957
C4-C2-C7-C9,311.51054582045487,74.9834925220013,236.52705329845355
C4-C2-C7-C8,71.55069075842515,314.8142551045814,243.26356434615622
C4-C2-C7-C10,191.752804152089,195.85773530982465,4.104931157735649
C3-C2-C7-C9,71.14756512123806,314.7972335438648,243.64966842262675
C3-C2-C7-C8,191.18771005920834,194.62799612644486,3.4402860672365136
C3-C2-C7-C10,311.3898234528722,75.67147633168817,235.71834712118402
C2-C4-C5-C6,184.57348518940498,178.10404769204303,6.469437497361952
C4-C5-C6-N1,176.79107026936228,183.8267047689762,7.035634499613934
C2-C7-C10-C11,186.8221588546687,192.9085005281968,6.086341673528125
C9-C7-C10-C11,65.51351107237821,314.9845783717068,249.47106729932858
C8-C7-C10-C11,308.01060126187446,72.34454332993448,235.66605793193997
C7-C10-C11-C12,179.596874029529,196.4326221213369,16.835748091807886
C10-C11-C12-N2,176.76028836860266,176.3375632099436,0.42272515865906257
