dihedral,ideal_angle,extracted_angle,error
N1-C1-C6-C5,178.32026088016633,175.4169669979071,2.90329388225922
C2-C1-C6-C5,302.57650832575644,55.657799031670564,246.9187092940859
N1-C1-C2-C3,181.6127494562765,181.4484053320652,0.16434412421131128
C6-C1-C2-C3,57.351594767254745,303.66037247885936,246.30877771160462
C1-C2-C3-C4,304.0103507190941,56.051716030106554,247.95863468898756
C2-C3-C4-N2,181.86762504936488,180.01206029392736,1.8555647554375128
C2-C3-C4-C5,57.55828402291067,301.5864651358702,244.02818111295952
N2-C4-C5-C6,178.09730250776843,183.54967255244048,5.452370044672051
C3-C4-C5-C6,302.3797613691915,60.81420183998149,241.56555952921002
C4-C5-C6-C1,56.124844472992244,302.3284253058597,246.20358083286746
