Experiment,Perovskite,Halogen,N_Slab,Molecule,Eslab,TotalAtoms,A,B,C,Alpha,Beta,Gamma,Emol,NCarbonsMol,NNitrogensMol,NHydrogensMol,FamilyMol,ParityMol,NormEnergy,MolAtoms,NormEmol
MAPbCl3_n3_CC(C)(CCC[NH3+])CCC[NH3+],MAPbCl3,Cl,3,CC(C)(CCC[NH3+])CCC[NH3+],-614.3528669499999,128.0,7.747501864380103,8.029137028434006,24.894024133945262,91.57995150049817,85.53467873899316,89.93600900528033,-188.49022561,9,2,24,branch,odd ,-1.8544719978906241,35,-5.385435017428572
MAPbCl3_n2_[NH3+]CCC[NH3+],MAPbCl3,Cl,2,[NH3+]CCC[NH3+],-332.89326843999993,68.0,7.873954192610824,7.598050872358865,15.278589098072585,86.02637597561557,87.74359932156645,89.45578948069308,-85.54443369,3,2,12,lineal,odd,-2.3794764861764692,17,-5.032025511176471
MAPbCl3_n2_[NH3+]CCCCCCCCC[NH3+],MAPbCl3,Cl,2,[NH3+]CCCCCCCCC[NH3+],-539.0950794299999,104.0,7.948482777121332,7.711142285461831,20.938554320519266,86.43917404010307,109.44439764999925,90.53884948284816,-188.42385467,9,2,24,lineal,odd,-1.5600708662499996,35,-5.383538704857143
MAPbCl3_n3_CC(C)(CCCC[NH3+])CCCC[NH3+],MAPbCl3,Cl,3,CC(C)(CCCC[NH3+])CCCC[NH3+],-682.6510201000001,140.0,7.777723868375283,7.84607933958052,28.07142965516493,84.48325106942175,96.22024100807536,90.29355659585062,-222.86891444,11,2,28,branch,odd,-1.692237080142858,41,-5.435827181463415
MAPbCl3_n2_CC(C)(CCC[NH3+])C(C)(C)CCC[NH3+],MAPbCl3,Cl,2,CC(C)(CCC[NH3+])C(C)(C)CCC[NH3+],-641.0690614,122.0,8.433758165729715,7.69794594545586,20.60707993151088,88.891700687737,100.96738732823337,91.52831018875578,-239.68893898,12,2,30,branch,even,-1.3253375691803282,44,-5.447475885909091
MAPbCl3_n1_[NH3+]C1CCC([NH3+])CC1,MAPbCl3,Cl,1,[NH3+]C1CCC([NH3+])CC1,-346.39705678,58.0,8.51114104663176,7.463742992048146,9.955048309805147,82.69716617819383,83.53578997731482,84.09457092624035,-129.72100752,6,2,16,cyclic,even,-1.499224857586207,24,-5.40504198
MAPbCl3_n3_[NH3+]CCCCCCC[NH3+],MAPbCl3,Cl,3,[NH3+]CCCCCCC[NH3+],-545.40589589,116.0,7.809716087936585,7.803510579988439,25.465255434116003,83.51316609825497,89.39338400922472,89.80286200960477,-154.15919643,7,2,20,lineal,odd,-2.0438577847413795,29,-5.315834359655173
MAPbCl3_n2_[NH3+]CCCC1=CC=C(CCC[NH3+])C=C1,MAPbCl3,Cl,2,[NH3+]CCCC1=CC=C(CCC[NH3+])C=C1,-580.73979804,106.0,7.793978672150353,7.754146512187874,21.904413917735866,96.08202730284928,96.97602945262774,90.21352349388097,-209.2911342,12,2,22,benzene,even,-1.529788015471698,36,-5.813642616666666
MAPbCl3_n1_[NH3+]CCCCCCCCC[NH3+],MAPbCl3,Cl,1,[NH3+]CCCCCCCCC[NH3+],-464.06439434,80.0,7.835109055020801,7.4556600576045176,16.11798180834406,97.94209245098442,114.76262564050886,87.53159047505302,-188.42385467,9,2,24,lineal,odd,-1.0902085624999998,35,-5.383538704857143
MAPbCl3_n2_[NH3+]C1CCC([NH3+])CC1,MAPbCl3,Cl,2,[NH3+]C1CCC([NH3+])CC1,-421.16879591,82.0,7.937923812187223,7.803219574938561,16.084644094324872,86.92325211123482,89.59484843485995,88.50247592360377,-129.72100752,6,2,16,cyclic,even,-1.9722778154878045,24,-5.40504198
